"key","english","comment","source"
"tutorial.tutorialtopicdevelopment.helpTownAdvanceNextTierMustFulfill","To help a town advance to the next tier, you must fulfill its upgrade missions. These become available once the town reaches a development of 100.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Development.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset"
"tutorial.tutorialtopicdevelopment.townTiers","Town Tiers","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Development.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset"
"tutorial.tutorialtopicdevelopment.townsWillOccasionallyStartTradeMissionsWhere","Towns will occasionally start trade missions, where they specific goods.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Development.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset"
"tutorial.tutorialtopicintro.caravan","Caravan","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Caravan.asset.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Caravan.asset"
"tutorial.tutorialtopicintro.cartsDetermineHowMuchCanCarryHow","Carts determine how much you can carry and how fast you travel. The better your carts, the more you can carry but the higher is also your upkeep.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.eachTownProducesCertainGoodsBasedResources","Each town produces certain goods based on the resources of nearby regions. Supplying towns with what they lack helps them grow, unlock better production bulidings and trade opportunities.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.goodLuck","Good Luck!","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.intro","Intro","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.ifEverWonderHowThingsWorkLook","If you ever wonder how things work, look out for buttons with question marks. They open further tutorials.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.prices","Prices","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.pricesDrivenBySupplyDemandWellVariety","Prices are driven by supply and demand as well as a variety of other factors. Make sure to pay attention to current events in the game.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.trading","Trading","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.tutorials","Tutorials","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.thanksPlayingMedievalMerchant","Thanks for playing Medieval Merchant!","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.text","That is all for now :)","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.winNeedSatisfyWinConditionsManageNot","To win you need to satisfy all win conditions and manage to not trigger any losing condition.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.welcome","Welcome!","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.winningLosing","Winning and Losing","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Title).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopicintro.canBuyGoodsTownsProduceSellThem","You can buy goods that towns produce and sell them to other towns. You find your inventory on the left and the towns inventory and production buildings on the right of the screen.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Intro.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorial.loremIpsumSoloresEstLoremIpsumSolores","Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est. Lorem ipsum solores est.","Tutorial/help text used in Assets/Features/Tutorial/UI/TutorialUI.prefab (m_text).","Assets\Features\Tutorial\UI\TutorialUI.prefab"
"tutorial.tutorialtopicproduction.productionTiers","Production Tiers","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Production.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset"
"tutorial.tutorialtopicproduction.townProduction","Town Production","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Production.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset"
"tutorial.tutorialtopicretinue.companions","Companions","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Retinue.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Retinue.asset"
"tutorial.tutorialtopicretinue.retinue","Retinue","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Retinue.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Retinue.asset"
"tutorial.tutorialtopicretinue.canRecruitCompanionsRetinueEachCompanionProvides","You can recruit companions to your retinue. Each companion provides unique bonuses which affect your ability to trade, travel and advance in various ways.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Retinue.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Retinue.asset"
"tutorial.tutorial.tutorial","Tutorial","Tutorial/help text used in Assets/Features/Tutorial/UI/TutorialUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Tutorial\UI\TutorialUI.prefab"
"tutorial.tutorialtopictowns.advancingTownTiers","Advancing Town Tiers","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.development","Development","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset"
"tutorial.tutorialtopictowns.eachTownHasDevelopmentGaugeReflectsIts","Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and building production increases the towns development trend.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.general","General","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.missions","Missions","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Development.asset"
"tutorial.tutorial.titleChapter","Title of the chapter","Tutorial/help text used in Assets/Features/Tutorial/UI/TutorialUI.prefab (m_text).","Assets\Features\Tutorial\UI\TutorialUI.prefab"
"tutorial.tutorialtopictowns.productionBuildings","Production Buildings","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title). Also appears in multiple places, e.g. Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset"
"tutorial.tutorialtopictowns.producerTiers","Producer Tiers","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.reputation","Reputation","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.towns","Towns","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Title). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Intro.asset"
"tutorial.tutorialtopictowns.townsWayWinningGamesWillTradeThem","Towns are your way of winning games. You will trade with them, get them on your side, complete their missions and help them develop and prosper.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.helpTownAdvanceNextTierMustComplete","To help a town advance to the next tier, you must complete its upgrade missions. These become available once the town reaches a development of 100.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.tierIBuildingsCanBuiltBasedTowns","Tier I buildings can be built based on the towns neighboring regions.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Description). Also appears in multiple places, e.g. Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset"
"tutorial.tutorialtopictowns.townsRememberHowTreatThemTheirOpinion","Towns remember how you treat them. Their opinion of you changes with each trade and as you help them develop or choose to neglect them.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.townsWillOccasionallyStartTradeMissionsWhere","Towns will occasionally start trade missions where they request specific goods. Fulfilling these requests will aid their development. Failing to supply requested goods in time will set the town back however.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Description).","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset"
"tutorial.tutorialtopictowns.canFinanceProductionBuildingsTownsMakeThem","You can finance production buildings in towns to make them produce goods and raise development.","Tutorial/help text used in Assets/Features/Tutorial/Data/Chapters/TutorialTopic_Towns.asset (backing_field:Description). Also appears in multiple places, e.g. Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset.","Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Towns.asset; Assets\Features\Tutorial\Data\Chapters\TutorialTopic_Production.asset"
"tutorial.tutorial.valueOverValue","{value}/{value}","Tutorial/help text used in Assets/Features/Tutorial/UI/TutorialUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Tutorial\UI\TutorialUI.cs:72"
