"key","english","comment","source"
"trade.tradeUI.reputation.99.9.3.4","Reputation: 99.9 (-3.4)","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text).","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.reputation.value.value","Reputation: {value} ({value})","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs).","Assets\Features\Trade\UI\TradeUI.cs:392"
"trade.tradeUI.sell","Sell","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.cs:170"
"trade.tradeErrorPopup.simple.tooltip","Simple tooltip.","UI text used in Assets/Features/Trade/UI/TradeErrorPopup.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\UI\TradeErrorPopup.prefab"
"trade.tradeUI.trade","Trade","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.value","+{value}","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Trade\UI\TradeUI.cs:322; Assets\Features\Trade\UI\TradeUI.cs:331.","Assets\Features\Trade\UI\TradeUI.cs:322; Assets\Features\Trade\UI\TradeUI.cs:331"
"trade.tradeUI.value.2","-{value}","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Trade\UI\TradeUI.cs:323; Assets\Features\Trade\UI\TradeUI.cs:332.","Assets\Features\Trade\UI\TradeUI.cs:323; Assets\Features\Trade\UI\TradeUI.cs:332"
"trade.tradeUI.value.value","{value}{value}","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Trade\UI\TradeUI.cs:391; Assets\Features\Trade\Haggling\UI\HaggleToggle.cs:44.","Assets\Features\Trade\UI\TradeUI.cs:391; Assets\Features\Trade\Haggling\UI\HaggleToggle.cs:44"
"trade.tradeUI.value.value.coin","{value}{value} coin","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs).","Assets\Features\Trade\UI\TradeUI.cs:349"
"trade.tradeUI.willowwoodville","Willowwoodville","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.x","X","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.x.value","x{value}","UI text used in Assets/Features/Trade/UI/TradeUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.cs:359"
"trade.tradeUI.you","You","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Trade\UI\TradeUI.prefab"
"trade.tradeUI.you.will.be.making.a.profit.of.1234567.8.coin.with.this.trade","You will be making a profit of 1234567.8 coin with this trade.","UI text used in Assets/Features/Trade/UI/TradeUI.prefab (m_text).","Assets\Features\Trade\UI\TradeUI.prefab"
