"key","english","comment","source"
"player.companionconfigdefault.getsOutSpicySituations","Gets you out of spicy situations.","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Description).","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.getsPlaces","Gets you places.","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Description). Keep translation short if possible.","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.negotiator","Negotiator","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Name). Keep translation short if possible.","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.rubsShouldersLocals","Rubs shoulders with the locals","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Description).","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.strikesQuiteBargain","Strikes quite the bargain.","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Description).","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionconfigdefault.thief","Thief","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfig_Default.asset (backing_field:Name). Keep translation short if possible.","Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.companionlevel.level2","Level 2","UI text used in Assets/Features/Player/Retinue/UI/CompanionLevelTooltip.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.prefab"
"player.cartupgradetooltipdetails.levelValue","Level {value}","UI text used in Assets/Features/Player/Caravan/UI/CartUpgradeTooltipDetails.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:24"
"player.companion.navigator","Navigator","UI text used in Assets/Features/Player/Retinue/UI/CompanionUI.prefab (m_text|backing_field:Name). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Player\Retinue\UI\CompanionUI.prefab; Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset.","Assets\Features\Player\Retinue\UI\CompanionUI.prefab; Assets\Features\Player\Retinue\Config\CompanionConfig_Default.asset"
"player.cart.n0","N0","UI text used in Assets/Features/Player/Caravan/UI/CartUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartUI.cs:243"
"player.campsitepanel.campsite","Campsite","UI text used in Assets/Features/Player/Art/Campsite Panel UI.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Art\Campsite Panel UI.prefab"
"player.carttierdetails.slots1","Slots: 1","UI text used in Assets/Features/Player/Caravan/UI/CartTierDetailsGroup.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartTierDetailsGroup.prefab"
"player.companion.steals5CoinsWhenEnteringTown","steals 5 coins when entering town","UI text used in Assets/Features/Player/Retinue/UI/CompanionUI.prefab (m_text).","Assets\Features\Player\Retinue\UI\CompanionUI.prefab"
"player.carttierdetails.speed93","Speed: 9.3","UI text used in Assets/Features/Player/Caravan/UI/CartTierDetailsGroup.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartTierDetailsGroup.prefab"
"player.cartupgradetooltipdetails.slotsValue","Slots: {value}","UI text used in Assets/Features/Player/Caravan/UI/CartUpgradeTooltipDetails.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:25"
"player.cartupgradetooltipdetails.speedValue","Speed: {value}","UI text used in Assets/Features/Player/Caravan/UI/CartUpgradeTooltipDetails.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:26"
"player.carttierdetails.tierI","Tier I","UI text used in Assets/Features/Player/Caravan/UI/CartTierDetailsGroup.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartTierDetailsGroup.prefab"
"player.caravanpanel.transportsGoodsTownTown","Transports your goods from town to town.","UI text used in Assets/Features/Player/Caravan/UI/CaravanPanelUI.prefab (m_text).","Assets\Features\Player\Caravan\UI\CaravanPanelUI.prefab"
"player.companion.takesPlaces","Takes you places.","UI text used in Assets/Features/Player/Retinue/UI/CompanionTooltip.prefab (m_text).","Assets\Features\Player\Retinue\UI\CompanionTooltip.prefab"
"player.companion.upkeep","Upkeep:","UI text used in Assets/Features/Player/Retinue/UI/CompanionTooltip.prefab (m_text). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Player\Retinue\UI\CompanionTooltip.prefab; Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.prefab.","Assets\Features\Player\Retinue\UI\CompanionTooltip.prefab; Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.prefab"
"player.carttierdetails.upkeep34OverDay","Upkeep 3.4/day","UI text used in Assets/Features/Player/Caravan/UI/CartTierDetailsGroup.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartTierDetailsGroup.prefab"
"player.cartupgrade.upgradeCart","Upgrade Cart","UI text used in Assets/Features/Player/Caravan/UI/CartUpgradeTooltip.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartUpgradeTooltip.prefab"
"player.cartupkeepmodifier.upkeepCartLevelValue","Upkeep for Cart level {value}","UI text used in Assets/Features/Player/Caravan/Logic/CartUpkeepModifier.cs (hardcoded_cs).","Assets\Features\Player\Caravan\Logic\CartUpkeepModifier.cs:17"
"player.companionlevel.unlockPreviousLevelsFirst","Unlock previous levels first.","UI text used in Assets/Features/Player/Retinue/UI/CompanionLevelTooltip.prefab (m_text).","Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.prefab"
"player.companionlevel.unlockPreviousLevelsFirst2","Unlock previous levels first","UI text used in Assets/Features/Player/Retinue/UI/CompanionLevelTooltip.cs (hardcoded_cs).","Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.cs:57"
"player.cartupgradetooltipdetails.upkeepValueValueOverDay","Upkeep: {value}{value}/day","UI text used in Assets/Features/Player/Caravan/UI/CartUpgradeTooltipDetails.cs (hardcoded_cs).","Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:27"
"player.companionlevel.value","{value}","UI text used in Assets/Features/Player/Retinue/UI/CompanionLevelTooltip.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Player\Retinue\UI\CompanionLevelTooltip.cs:53"
"player.companionconfig.valueLvlValueValue","{value} lvl. {value} {value}","UI text used in Assets/Features/Player/Retinue/Config/CompanionConfigData.cs (hardcoded_cs).","Assets\Features\Player\Retinue\Config\CompanionConfigData.cs:41"
"player.cartupgradetooltipdetails.valueValue","{value}{value}","UI text used in Assets/Features/Player/Caravan/UI/CartUpgradeTooltipDetails.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:36; Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:37; Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:38.","Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:36; Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:37; Assets\Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs:38"
"player.cart.waggon1","Waggon 1","UI text used in Assets/Features/Player/Caravan/UI/CartUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartUI.prefab"
"player.cart.waggonValue","Waggon {value}","UI text used in Assets/Features/Player/Caravan/UI/CartUI.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\CartUI.cs:67"
"player.newcart.addCart","Add Cart","UI text used in Assets/Features/Player/Caravan/UI/NewCartTooltip.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Caravan\UI\NewCartTooltip.prefab"
"player.newcart.cost500","Cost: 500","UI text used in Assets/Features/Player/Caravan/UI/NewCartTooltip.prefab (m_text). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Player\Caravan\UI\NewCartTooltip.prefab; Assets\Features\Player\Caravan\UI\CartUpgradeTooltip.prefab.","Assets\Features\Player\Caravan\UI\NewCartTooltip.prefab; Assets\Features\Player\Caravan\UI\CartUpgradeTooltip.prefab"
"player.newcart.costValue","Cost: {value}","UI text used in Assets/Features/Player/Caravan/UI/NewCartTooltip.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Player\Caravan\UI\NewCartTooltip.cs:44; Assets\Features\Player\Caravan\UI\CartUpgradeTooltip.cs:63.","Assets\Features\Player\Caravan\UI\NewCartTooltip.cs:44; Assets\Features\Player\Caravan\UI\CartUpgradeTooltip.cs:63"
"player.navigatorupkeepmodifier.navigatorLevelValue","Navigator level {value}","UI text used in Assets/Features/Player/Retinue/Logic/Modifiers/NavigatorUpkeepModifier.cs (hardcoded_cs). Also appears in multiple places, e.g. Assets\Features\Player\Retinue\Logic\Modifiers\NavigatorUpkeepModifier.cs:26; Assets\Features\Player\Retinue\Logic\Modifiers\NavigatorSpeedModifier.cs:26.","Assets\Features\Player\Retinue\Logic\Modifiers\NavigatorUpkeepModifier.cs:26; Assets\Features\Player\Retinue\Logic\Modifiers\NavigatorSpeedModifier.cs:26"
"player.negotiatorupgradecostmodifier.valueLevelValue","{value} Level {value}","UI text used in Assets/Features/Player/Retinue/Logic/Modifiers/NegotiatorUpgradeCostModifier.cs (hardcoded_cs). Also appears in multiple places, e.g. Assets\Features\Player\Retinue\Logic\Modifiers\NegotiatorUpgradeCostModifier.cs:27; Assets\Features\Player\Retinue\Logic\Modifiers\NegotiatorPriceModifier.cs:37; Assets\Features\Player\Retinue\Logic\Modifiers\DiplomatReputationModifier.cs:31.","Assets\Features\Player\Retinue\Logic\Modifiers\NegotiatorUpgradeCostModifier.cs:27; Assets\Features\Player\Retinue\Logic\Modifiers\NegotiatorPriceModifier.cs:37; Assets\Features\Player\Retinue\Logic\Modifiers\DiplomatReputationModifier.cs:31; Assets\Features\Player\Retinue\Logic\Modifiers\ArchitectUpgradeCostModifier.cs:31"
"player.playermini.plus1234OverDay","+1234 /day","UI text used in Assets/Features/Player/UI/PlayerMiniUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\UI\PlayerMiniUI.prefab"
"player.playermini.gamePaused","Game Paused","UI text used in Assets/Features/Player/UI/PlayerMiniUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\UI\PlayerMiniUI.prefab"
"player.playermini.merchant","Merchant","UI text used in Assets/Features/Player/UI/PlayerMiniUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\UI\PlayerMiniUI.prefab"
"player.playermini.text","(You)","UI text used in Assets/Features/Player/UI/PlayerMiniUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\UI\PlayerMiniUI.prefab"
"player.retinue.noOneCanRuleWorldTradeBy","No one can rule the world of trade by themself. Get yourself some helpers.","UI text used in Assets/Features/Player/Retinue/UI/RetinuePanel.prefab (m_text).","Assets\Features\Player\Retinue\UI\RetinuePanel.prefab"
"player.retinue.retinue","Retinue","UI text used in Assets/Features/Player/Retinue/UI/RetinuePanel.prefab (m_text). Keep translation short if possible.","Assets\Features\Player\Retinue\UI\RetinuePanel.prefab"
"player.thieflevel.minusStealsValueCoinWhenEnteringTown","- Steals {value} coin when entering town","UI text used in Assets/Features/Player/Retinue/Config/LevelDatas/ThiefLevelData.cs (hardcoded_cs).","Assets\Features\Player\Retinue\Config\LevelDatas\ThiefLevelData.cs:22"
"player.thieflevel.minusValueChanceGettingCaught","- {value} chance of getting caught","UI text used in Assets/Features/Player/Retinue/Config/LevelDatas/ThiefLevelData.cs (hardcoded_cs).","Assets\Features\Player\Retinue\Config\LevelDatas\ThiefLevelData.cs:23"
"player.thieflevel.minusValueReputationLostWhenBeingCaught","- {value} reputation lost when being caught","UI text used in Assets/Features/Player/Retinue/Config/LevelDatas/ThiefLevelData.cs (hardcoded_cs).","Assets\Features\Player\Retinue\Config\LevelDatas\ThiefLevelData.cs:24"
