"key","english","comment","source"
"goods.name.linen","Linen","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Linen.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Linen.asset"
"goods.name.logs","Logs","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Logs.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Logs.asset"
"goods.name.lime","Lime","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Lime.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Lime.asset"
"goods.name.mussels","Mussels","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Mussels.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Mussels.asset"
"goods.name.medicalRations","Medical Rations","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Recipe\UI\RecipePanelItem.prefab; Assets\Features\Goods\Config\Goods\T3_MedPacks.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Recipe\UI\RecipePanelItem.prefab; Assets\Features\Goods\Config\Goods\T3_MedPacks.asset"
"goods.name.pigments","Pigments","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Pigments.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Pigments.asset"
"goods.name.provisions","Provisions","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Provisions.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Provisions.asset"
"goods.name.pickles","Pickles","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Pickles.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Pickles.asset"
"goods.name.pearls","Pearls","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Pearls.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Pearls.asset"
"goods.recipe.productionChainsTitle","Production Chains","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text).","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab"
"goods.name.paddedClothing","Padded Clothing","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_PaddedClothes.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_PaddedClothes.asset"
"goods.recipe.regionForestLabel","Region: Forest","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelTier2RegionGroup.prefab (m_text). Keep translation short if possible.","Assets\Features\Goods\Recipe\UI\RecipePanelTier2RegionGroup.prefab"
"goods.name.rawOre","Raw Ore","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\GoodTooltip.prefab; Assets\Features\Goods\Config\Goods\T1_RawOre.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\GoodTooltip.prefab; Assets\Features\Goods\Config\Goods\T1_RawOre.asset"
"goods.name.rawStone","Raw Stone","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_RawStone.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_RawStone.asset"
"goods.name.shells","Shells","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Shells.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Shells.asset"
"goods.name.seaweed","Seaweed","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Seaweed.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Seaweed.asset"
"goods.name.thatch","Thatch","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Thatch.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_Thatch.asset"
"goods.name.tents","Tents","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Tents.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Tents.asset"
"goods.name.vegetables","Vegetables","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Vegetables.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_Vegetables.asset"
"goods.name.weapons","Weapons","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Weapons.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T3_Weapons.asset"
"goods.name.wildGame","Wild Game","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_WildGame.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T1_WildGame.asset"
"goods.name.woodenPlanks","Wooden Planks","UI text used in Assets/Features/Goods/Recipe/UI/RecipePanelUI.prefab (m_text|backing_field:GoodName). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_WoodenPlanks.asset.","Assets\Features\Goods\Recipe\UI\RecipePanelUI.prefab; Assets\Features\Goods\Config\Goods\T2_WoodenPlanks.asset"
"goods.selector.forGoodsList","for {value}","UI text used in Assets/Features/Goods/Selector/SpecificGoodsSelector.cs (hardcoded_cs). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Goods\Selector\SpecificGoodsSelector.cs:26; Assets\Features\Goods\Selector\SingleGoodSelector.cs:23.","Assets\Features\Goods\Selector\SpecificGoodsSelector.cs:26; Assets\Features\Goods\Selector\SingleGoodSelector.cs:23"
"goods.name.berries","Berries","UI text used in Assets/Features/Goods/Config/Goods/T1_Berries.asset (backing_field:GoodName). Keep translation short if possible.","Assets\Features\Goods\Config\Goods\T1_Berries.asset"
"goods.name.berryWine","Berry Wine","UI text used in Assets/Features/Goods/Config/Goods/T2_BerryWine.asset (backing_field:GoodName). Keep translation short if possible.","Assets\Features\Goods\Config\Goods\T2_BerryWine.asset"
"goods.name.wool","Wool","UI text used in Assets/Features/Goods/Config/Goods/T2_GoatWool.asset (backing_field:GoodName). Keep translation short if possible.","Assets\Features\Goods\Config\Goods\T2_GoatWool.asset"
"goods.name.sheep","Sheep","UI text used in Assets/Features/Goods/Config/Goods/T1_Sheep.asset (backing_field:GoodName). Keep translation short if possible.","Assets\Features\Goods\Config\Goods\T1_Sheep.asset"
