"key","english","comment","source"
"levels.eventgenerousnobles.generousNobles","Generous Nobles","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_GenerousNobles.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_GenerousNobles.asset"
"levels.eventgenerousnobles.nobilityAroundThesePartsGivingMoodSupport","The nobility around these parts are in a giving mood and support all towns in their development.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_GenerousNobles.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_GenerousNobles.asset"
"levels.eventheavyrain.heavyRain","Heavy Rain","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_HeavyRain.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_HeavyRain.asset"
"levels.eventhorseshortage.horseShortage","Horse Shortage","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_HorseShortage.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_HorseShortage.asset"
"levels.eventhorseshortage.peopleNeedRideTheyTakeWhatThey","People need to ride and they take what they can get.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_HorseShortage.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_HorseShortage.asset"
"levels.eventheavyrain.cloudsDarkAirThickStormIsnT","The clouds are dark, the air is thick. This storm isn't going to end any time soon.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_HeavyRain.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_HeavyRain.asset"
"levels.eventlandslides.largePartsMountainsHaveBecomeImpassableMaking","Large parts of the mountains have become impassable making the mines hardly usable.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_Landslides.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_Landslides.asset"
"levels.eventlandslides.landSlides","Land Slides","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_Landslides.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_Landslides.asset"
"levels.eventmarketfair.regionalFairAttractsTradersTravelers","A regional fair attracts traders and travelers.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_MarketFair.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_MarketFair.asset"
"levels.eventmarketfair.marketFair","Market Fair","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_MarketFair.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_MarketFair.asset"
"levels.eventpanicpurchases.panicPurchases","Panic Purchases","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_PanicPurchases.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Events\Data\Event_PanicPurchases.asset"
"levels.eventpanicpurchases.rumorsComingPlagueSpreadingPanicSetsPeople","Rumors of a coming plague are spreading. Panic sets in, and the people know their priorities: anything remotely suitable for wiping one\u2019s their behinds.","Level/condition text used in Assets/Features/Levels/GameModifiers/Events/Data/Event_PanicPurchases.asset (backing_field:Description).","Assets\Features\Levels\GameModifiers\Events\Data\Event_PanicPurchases.asset"
"levels.effectpercentmodifier.valueValue","{value}: {value}","Level/condition text used in Assets/Features/Levels/GameModifiers/Logic/EffectPercentModifier.cs (hardcoded_cs). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\Logic\EffectPercentModifier.cs:12"
"levels.fundswincondition.valueOverValueCoin","{value}/{value} coin","Level/condition text used in Assets/Features/Levels/Conditions/Model/FundsWinCondition.cs (hardcoded_cs).","Assets\Features\Levels\Conditions\Model\FundsWinCondition.cs:24"
"levels.gamemodifierui.minusEffect1Long","- effect 1 is very very very very very very very very very very very very very very very long","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/GameModifierUIElement.prefab (m_text).","Assets\Features\Levels\GameModifiers\UI\GameModifierUIElement.prefab"
"levels.gameeventlist.ongoingEventsValue","Ongoing Events ({value})","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/GameEventListUI.cs (hardcoded_cs).","Assets\Features\Levels\GameModifiers\UI\GameEventListUI.cs:98"
"levels.gamemodifierui.oceanResourcesPlentifulMapSadlySAbout","Ocean resources are plentiful in this map. Sadly, that's about the only plentiful stuff. All towns really want to get some briny, juicy ocean stuff!","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/GameModifierUIElement.prefab (m_text).","Assets\Features\Levels\GameModifiers\UI\GameModifierUIElement.prefab"
"levels.gamemodifierui.plentifulOceans","Plentiful Oceans","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/GameModifierUIElement.prefab (m_text|backing_field:Title). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Features\Levels\GameModifiers\UI\GameModifierUIElement.prefab; Assets\Features\Levels\Data\Level2\Level2ModifierData.asset.","Assets\Features\Levels\GameModifiers\UI\GameModifierUIElement.prefab; Assets\Features\Levels\Data\Level2\Level2ModifierData.asset"
"levels.globalreputationwincondition.valueOverValueGlobalReputation","{value}/{value} global reputation","Level/condition text used in Assets/Features/Levels/Conditions/Model/GlobalReputationWinCondition.cs (hardcoded_cs).","Assets\Features\Levels\Conditions\Model\GlobalReputationWinCondition.cs:24"
"levels.ingamewinconditionlist.line1Description","Line 1 Description","Level/condition text used in Assets/Features/Levels/Conditions/UI/InGameWinConditionListItem.prefab (m_text).","Assets\Features\Levels\Conditions\UI\InGameWinConditionListItem.prefab"
"levels.ingamelevelconditions.ongoingEvents","Ongoing Events","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/InGameLevelConditionsPanel.prefab (m_text). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\UI\InGameLevelConditionsPanel.prefab"
"levels.level1modifier.goldenTimes","Golden Times","Level/condition text used in Assets/Features/Levels/Data/Level1/Level1ModifierData.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\Data\Level1\Level1ModifierData.asset"
"levels.level3modifier.peopleAreaLikeStickThemselvesDonT","People in this area like to stick to themselves and don't trust the others. You start with towns of one region on your side and will need to play your cards right to please everyone.","Level/condition text used in Assets/Features/Levels/Data/Level3/Level3ModifierData.asset (backing_field:Description).","Assets\Features\Levels\Data\Level3\Level3ModifierData.asset"
"levels.level1modifier.thingsHaveBeenGreatThesePastFew","Things have been great these past few years. The pepole are happy and healthy and life is good.","Level/condition text used in Assets/Features/Levels/Data/Level1/Level1ModifierData.asset (backing_field:Description).","Assets\Features\Levels\Data\Level1\Level1ModifierData.asset"
"levels.level2modifier.oceansPlentifulHereSadlySAboutOnly","The oceans are plentiful here. Sadly, that's about the only thing plentiful. Everything else is expensvie and hard to get. So, towns really want to get some briny, juicy ocean stuff!","Level/condition text used in Assets/Features/Levels/Data/Level2/Level2ModifierData.asset (backing_field:Description).","Assets\Features\Levels\Data\Level2\Level2ModifierData.asset"
"levels.level3modifier.timesMistrust","Times of Mistrust","Level/condition text used in Assets/Features/Levels/Data/Level3/Level3ModifierData.asset (backing_field:Title).","Assets\Features\Levels\Data\Level3\Level3ModifierData.asset"
"levels.localreputationwincondition.valueOverValueTowns","{value}/{value} towns","Level/condition text used in Assets/Features/Levels/Conditions/Model/LocalReputationWinCondition.cs (hardcoded_cs).","Assets\Features\Levels\Conditions\Model\LocalReputationWinCondition.cs:26"
"levels.movementspeedeffect.valueCaravanMovementSpeed","{value} caravan movement speed","Level/condition text used in Assets/Features/Levels/GameModifiers/Effects/Data/MovementSpeedEffectData.cs (hardcoded_cs).","Assets\Features\Levels\GameModifiers\Effects\Data\MovementSpeedEffectData.cs:20"
"levels.pregameconditionlist.descriptionLine1","Description Line 1","Level/condition text used in Assets/Features/Levels/Conditions/UI/PregameConditionListItem.prefab (m_text).","Assets\Features\Levels\Conditions\UI\PregameConditionListItem.prefab"
"levels.pregamlevelcondition.levelModifier","Level Modifier","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/PregamLevelConditionUI.prefab (m_text). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\UI\PregamLevelConditionUI.prefab"
"levels.productioneffect.valueProductionSpeedValue","{value} production speed {value}","Level/condition text used in Assets/Features/Levels/GameModifiers/Effects/Data/ProductionEffectData.cs (hardcoded_cs).","Assets\Features\Levels\GameModifiers\Effects\Data\ProductionEffectData.cs:27"
"levels.priceeffect.valueValuePricesValue","{value} to {value}prices {value}","Level/condition text used in Assets/Features/Levels/GameModifiers/Effects/Data/PriceEffectData.cs (hardcoded_cs).","Assets\Features\Levels\GameModifiers\Effects\Data\PriceEffectData.cs:38"
"levels.reputationeffect.valueReputationChanges","{value} for all reputation changes","Level/condition text used in Assets/Features/Levels/GameModifiers/Effects/Data/ReputationEffectData.cs (hardcoded_cs).","Assets\Features\Levels\GameModifiers\Effects\Data\ReputationEffectData.cs:22"
"levels.timedgamemodifierui.n6DaysLeft","6 days left","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/TimedGameModifierUIElement.prefab (m_text). Keep translation short if possible.","Assets\Features\Levels\GameModifiers\UI\TimedGameModifierUIElement.prefab"
"levels.tutoriallevel.tutorial","Tutorial","Tutorial/help text used in Assets/Features/Levels/Data/Tutorial/TutorialLevelData.asset (backing_field:Title). Keep translation short if possible.","Assets\Features\Levels\Data\Tutorial\TutorialLevelData.asset"
"levels.timedgamemodifierui.valueDaysLeft","{value} days left","Level/condition text used in Assets/Features/Levels/GameModifiers/UI/TimedGameModifierUIElement.cs (hardcoded_cs). Also appears in multiple places, e.g. Assets\Features\Levels\GameModifiers\UI\TimedGameModifierUIElement.cs:14; Assets\Features\Levels\Conditions\Model\TimeoutLossCondition.cs:39.","Assets\Features\Levels\GameModifiers\UI\TimedGameModifierUIElement.cs:14; Assets\Features\Levels\Conditions\Model\TimeoutLossCondition.cs:39"
"levels.towntierwincondition.valueOverValueTierValueTowns","{value}/{value} Tier {value} towns","Level/condition text used in Assets/Features/Levels/Conditions/Model/TownTierWinCondition.cs (hardcoded_cs).","Assets\Features\Levels\Conditions\Model\TownTierWinCondition.cs:28"
"levels.winlossconditions.lossConditions","Loss Conditions","Level/condition text used in Assets/Features/Levels/Conditions/UI/WinLossConditionsPanel.prefab (m_text). Keep translation short if possible.","Assets\Features\Levels\Conditions\UI\WinLossConditionsPanel.prefab"
"levels.winlossconditions.winConditions","Win Conditions","Level/condition text used in Assets/Features/Levels/Conditions/UI/WinLossConditionsPanel.prefab (m_text). Keep translation short if possible.","Assets\Features\Levels\Conditions\UI\WinLossConditionsPanel.prefab"
