"key","english","comment","source"
"common.observable.value",">{value}<","UI text used in Assets/Common/Infrastructure/Observation/Observable.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\Infrastructure\Observation\Observable.cs:83"
"common.paymentPopup.n0","N0","UI text used in Assets/Common/UI/Popups/PaymentPopup.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\UI\Popups\PaymentPopup.cs:23"
"common.panelTemplate.UI.template.contents","Contents","UI text used in Assets/Common/UI/Elements/Panel UI Template.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Elements\Panel UI Template.prefab"
"common.panelTemplate.UI.template.subtitle","Subtitle","UI text used in Assets/Common/UI/Elements/Panel UI Template.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Elements\Panel UI Template.prefab"
"common.panelTemplate.UI.template.title","Title","UI text used in Assets/Common/UI/Elements/Panel UI Template.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Elements\Panel UI Template.prefab"
"common.regionResources.forest","Forest","UI text used in Assets/Common/Config/RegionResources.asset (backing_field:Name). Keep translation short if possible.","Assets\Common\Config\RegionResources.asset"
"common.regionResources.fields","Fields","UI text used in Assets/Common/Config/RegionResources.asset (backing_field:Name). Keep translation short if possible.","Assets\Common\Config\RegionResources.asset"
"common.regionResources.mountains","Mountains","UI text used in Assets/Common/Config/RegionResources.asset (backing_field:Name). Keep translation short if possible.","Assets\Common\Config\RegionResources.asset"
"common.regionResources.ocean","Ocean","UI text used in Assets/Common/Config/RegionResources.asset (backing_field:Name). Keep translation short if possible.","Assets\Common\Config\RegionResources.asset"
"common.styleExtensions.color.value.value.color","<color=#{value}>{value}</color>","UI text used in Assets/Common/UI/Utility/StyleExtensions.cs (hardcoded_cs).","Assets\Common\UI\Utility\StyleExtensions.cs:26"
"common.simpleTooltipError.simple.tooltip","Simple tooltip.","UI text used in Assets/Common/UI/Elements/SimpleTooltipError.prefab (m_text). Keep translation short if possible. Also appears in multiple places, e.g. Assets\Common\UI\Elements\SimpleTooltipError.prefab; Assets\Common\UI\Elements\SimpleTooltip.prefab.","Assets\Common\UI\Elements\SimpleTooltipError.prefab; Assets\Common\UI\Elements\SimpleTooltip.prefab"
"common.styleExtensions.style.value.value.style","<style=""{value}"">{value}</style>","UI text used in Assets/Common/UI/Utility/StyleExtensions.cs (hardcoded_cs).","Assets\Common\UI\Utility\StyleExtensions.cs:21"
"common.titleDescriptionTooltip.description.description.description.description.description.description.description.descr","Description Description Description Description Description Description Description Description Description","UI text used in Assets/Common/UI/TitleDescriptionTooltip.prefab (m_text).","Assets\Common\UI\TitleDescriptionTooltip.prefab"
"common.textInput.placeholder","Placeholder","UI text used in Assets/Common/UI/Elements/TextInput.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Elements\TextInput.prefab"
"common.titleDescriptionTooltip.title.title.title.title.title.title.title","Title Title Title Title Title Title Title","UI text used in Assets/Common/UI/TitleDescriptionTooltip.prefab (m_text).","Assets\Common\UI\TitleDescriptionTooltip.prefab"
"common.tierExtensions.tier.value","Tier {value}","UI text used in Assets/Common/Types/TierExtensions.cs (hardcoded_cs). Keep translation short if possible.","Assets\Common\Types\TierExtensions.cs:9"
"common.textInput.u200b","\u200B","UI text used in Assets/Common/UI/Elements/TextInput.prefab (m_text). Keep translation short if possible.","Assets\Common\UI\Elements\TextInput.prefab"
