Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Tutorial.Topic.Intro.Steps.Welcome.Title",518106603536,"","Welcome!","","","","",""
"Tutorial.Topic.Intro.Steps.Welcome.Description",518106603537,"","Thanks for playing Medieval Merchant!\n\nYour goal is to build a profitable trade network by buying and selling goods between towns and helping them grow over time.","","","","",""
"Tutorial.Topic.Intro.Steps.Trading.Title",518106603538,"","Trading","","","","",""
"Tutorial.Topic.Intro.Steps.Trading.Description",518106603539,"","You can buy goods that towns produce and sell them to other towns. You find your inventory on the left and the towns inventory and production buildings on the right of the screen.","","","","",""
"Tutorial.Topic.Intro.Steps.Prices.Title",518106603540,"","Prices","","","","",""
"Tutorial.Topic.Intro.Steps.Prices.Description",518106603541,"","Prices are driven by supply and demand as well as a variety of other factors. Make sure to pay attention to current events in the game.\n\nIf you want to understand how prices are calculated, you can hover them in the trade popup.","","","","",""
"Tutorial.Topic.Intro.Steps.Towns.Title",518106603542,"","Towns","","","","",""
"Tutorial.Topic.Intro.Steps.Towns.Description",518106603543,"","Each town produces certain goods based on the resources of nearby regions. Supplying towns with what they lack helps them grow, unlock better production bulidings and trade opportunities.","","","","",""
"Tutorial.Topic.Intro.Steps.Caravan.Title",518106603544,"","Caravan","","","","",""
"Tutorial.Topic.Intro.Steps.Caravan.Description",518106603545,"","Carts determine how much you can carry and how fast you travel. The better your carts, the more you can carry but the higher is also your upkeep.","","","","",""
"Tutorial.Topic.Intro.Steps.WinningAndLosing.Title",518106603546,"","Winning and Losing","","","","",""
"Tutorial.Topic.Intro.Steps.WinningAndLosing.Description",518106603547,"","To win you need to satisfy all win conditions and manage to not trigger any losing condition.","","","","",""
"Tutorial.Topic.Intro.Steps.Tutorials.Title",518106603548,"","Tutorials","","","","",""
"Tutorial.Topic.Intro.Steps.Tutorials.Description",518106603549,"","If you ever wonder how things work, look out for buttons with question marks. They open further tutorials.","","","","",""
"Tutorial.Topic.Intro.Steps.GoodLuck.Title",518106603550,"","Good Luck!","","","","",""
"Tutorial.Topic.Intro.Steps.GoodLuck.Description",518106603551,"","That is all for now :)\n\nYou will learn more as you play. Enjoy the journey!","","","","",""
"Tutorial.Topic.Controls.Title",518106603552,"","Controls & the World Map","","","","",""
"Tutorial.Topic.Controls.Steps.CameraMovement.Title",518106603553,"","Camera Movement","","","","",""
"Tutorial.Topic.Controls.Steps.CameraMovement.Description",518106603554,"","Move the camera with WASD. Hold the middle mouse button to pan the view.\n\n[C] centers the camera on your location.\n\n[Space] pauses the game. [1] and [2] set the game speed.","","","","",""
"Tutorial.Topic.Controls.Steps.TravelingToTowns.Title",518106603555,"","Traveling to Towns","","","","",""
"Tutorial.Topic.Controls.Steps.TravelingToTowns.Description",518106603556,"","Right-click on a town to move your caravan there. Travel takes time and costs upkeep.","","","","",""
"Tutorial.Topic.Controls.Steps.TownDetails.Title",518106603557,"","Town Details","","","","",""
"Tutorial.Topic.Controls.Steps.TownDetails.Description",518106603558,"","Left-click towns and production zones to inspect their details.","","","","",""
"Tutorial.Topic.Towns.Title",518106603559,"","Towns","","","","",""
"Tutorial.Topic.Towns.Steps.General.Title",518110797824,"","General","","","","",""
"Tutorial.Topic.Towns.Steps.General.Description",518110797825,"","Towns are your way of winning games. You will trade with them, get them on your side, complete their missions and help them develop and prosper.","","","","",""
"Tutorial.Topic.Towns.Steps.Development.Title",518110797826,"","Development","","","","",""
"Tutorial.Topic.Towns.Steps.Development.Description",518110797827,"","Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and building production increases the towns development trend.\n\nWith growing development more and more development milestones unlock, improving the towns stats and enabling further trade opportunities.","","","","",""
"Tutorial.Topic.Towns.Steps.Missions.Title",518110797828,"","Missions","","","","",""
"Tutorial.Topic.Towns.Steps.Missions.Description",518110797829,"","Towns will occasionally start trade missions where they request specific goods. Fulfilling these requests will aid their development. Failing to supply requested goods in time will set the town back however.","","","","",""
"Tutorial.Topic.Towns.Steps.AdvancingTownTiers.Title",518110797830,"","Advancing Town Tiers","","","","",""
"Tutorial.Topic.Towns.Steps.AdvancingTownTiers.Description",518110797831,"","To help a town advance to the next tier, you must complete its upgrade missions. These become available once the town reaches a development of 100.\n\nTowns of higher tiers can produce higher tier goods which usually have better margins for you.","","","","",""
"Tutorial.Topic.Towns.Steps.Reputation.Title",518110797832,"","Reputation","","","","",""
"Tutorial.Topic.Towns.Steps.Reputation.Description",518110797833,"","Towns remember how you treat them. Their opinion of you changes with each trade and as you help them develop or choose to neglect them.\n\nTrades, constuction of buildings, failing or completing missions, among others all influence your reputation with towns.","","","","",""
"Tutorial.Topic.Towns.Steps.ProductionBuildings.Title",518110797834,"","Production Buildings","","","","",""
"Tutorial.Topic.Towns.Steps.ProductionBuildings.Description",518110797835,"","You can finance production buildings in towns to make them produce goods and raise development.\n\nConstructing producers is essential as they add more resources to your trade network and enable you to complete missions, react to world events and make profits by supplying the right goods at the right time.","","","","",""
"Tutorial.Topic.Towns.Steps.ProducerTiers.Title",518110797836,"","Producer Tiers","","","","",""
"Tutorial.Topic.Towns.Steps.ProducerTiers.Description",518110797837,"","Tier I buildings can be built based on the towns neighboring regions.\n\nTier II buildings are built on top of Tier I buildings.\n\nTier III buildings are built on top of a Tier II producer and require a seconds Tier II good to produce Tier III goods. This second good can either be produced in the town or must be delivered (sold) by you.","","","","",""
"Tutorial.Topic.Development.Title",518110797838,"","Town Development","","","","",""
"Tutorial.Topic.Development.Steps.Development.Title",518110797839,"","Development","","","","",""
"Tutorial.Topic.Development.Steps.Development.Description",518110797840,"","Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and financing production buildings increases the towns development trend.\n\nWith growing development more and more milestones unlock, improving the towns stats and enabling further trade opportunities.","","","","",""
"Tutorial.Topic.Development.Steps.Missions.Title",518110797841,"","Missions","","","","",""
"Tutorial.Topic.Development.Steps.Missions.Description",518110797842,"","Towns will occasionally start trade missions, where they specific goods.\n\nFulfilling these requests will aid their development. Failing to supply these requested goods in time will set the town back however.\n\nChoose wisely whom to help and whom to ignore as you will likely not have enough time to satisfy everyone.","","","","",""
"Tutorial.Topic.Development.Steps.TownTiers.Title",518110797843,"","Town Tiers","","","","",""
"Tutorial.Topic.Development.Steps.TownTiers.Description",518110797844,"","To help a town advance to the next tier, you must fulfill its upgrade missions. These become available once the town reaches a development of 100.\n\nTowns of higher tiers can produce higher tier goods which have better margins for you.","","","","",""
"Tutorial.Topic.Production.Title",518110797845,"","Town Production","","","","",""
"Tutorial.Topic.Production.Steps.ProductionBuildings.Title",518110797846,"","Production Buildings","","","","",""
"Tutorial.Topic.Production.Steps.ProductionBuildings.Description",518110797847,"","You can finance production buildings in towns to make them produce goods and raise development.\n\nConstructing producers is essential as they add more resources to your trade network and enable you to complete missions, react to world events and make profits by supplying the right goods at the right time.","","","","",""
"Tutorial.Topic.Production.Steps.ProductionTiers.Title",518110797848,"","Production Tiers","","","","",""
"Tutorial.Topic.Production.Steps.ProductionTiers.Description",518110797849,"","Tier I buildings can be built based on the towns neighboring regions.\n\nTier II buildings are built on top of Tier I buildings.\n\nTier III buildings are built on top of a Tier II producer and require a seconds Tier II good to produce Tier III goods. This second good can either be produced in the town or must be delivered (sold) by you.","","","","",""
"Tutorial.Topic.Caravan.Title",518110797850,"","Caravan","","","","",""
"Tutorial.Topic.Caravan.Steps.CartsAndUpgrades.Title",518110797851,"","Carts & Upgrades","","","","",""
"Tutorial.Topic.Caravan.Steps.CartsAndUpgrades.Description",518110797852,"","As you make more money and expand your trade network you will develop the need to move faster and haul more goods.\n\nTo do this, you can upgrade your carts or purchase new ones. But be careful! A larger caravan also requires more upkeep.","","","","",""
"Tutorial.Topic.Retinue.Title",518110797853,"","Retinue","","","","",""
"Tutorial.Topic.Retinue.Steps.Companions.Title",518110797854,"","Companions","","","","",""
"Tutorial.Topic.Retinue.Steps.Companions.Description",518110797855,"","You can recruit companions to your retinue. Each companion provides unique bonuses which affect your ability to trade, travel and advance in various ways.\n\nMake sure to hover your mouse over the various upgrades to see their effects.","","","","",""
