Key,Id,Shared Comments,English(en),English(en) Comments,French(fr),French(fr) Comments,German(de),German(de) Comments
"Goods.Good.DriedFish.Name",805680668715,"","Dried Fish","","","","",""
"Goods.Good.Fish.Building",805680668682,"","Fishery","","","","",""
"Goods.Good.Fish.Name",805680668681,"","Fish","","","","",""
"Goods.Good.Flax.Building",805680668684,"","Flax Field","","","","",""
"Goods.Good.Flax.Name",805680668683,"","Flax","","","","",""
"Goods.Good.Flour.Building",805680668718,"","Grain Mill","","","","",""
"Goods.Good.Flour.Name",805680668717,"","Flour","","","","",""
"Goods.Good.ForgedTools.Building",805684863007,"","Toolmaker","","","","",""
"Goods.Good.ForgedTools.Name",805684863006,"","Forged Tools","","","","",""
"Goods.Good.Furniture.Building",805684862995,"","Furnituremaker","","","","",""
"Goods.Good.Furniture.Name",805684862994,"","Furniture","","","","",""
"Goods.Good.Grain.Building",805680668686,"","Grain Field","","","","",""
"Goods.Good.Grain.Name",805680668685,"","Grain","","","","",""
"Goods.Good.Hay.Building",805680668688,"","Hay Meadows","","","","",""
"Goods.Good.Hay.Name",805680668687,"","Hay","","","","",""
"Goods.Good.HerbalMedicine.Building",805680668722,"","Herbalist","","","","",""
"Goods.Good.HerbalMedicine.Name",805680668721,"","Herbal Medicine","","","","",""
"Goods.Good.Herbs.Building",805680668690,"","Herb Collector","","","","",""
"Goods.Good.Herbs.Name",805680668689,"","Herbs","","","","",""
"Goods.Good.IronIngots.Building",805680668724,"","Iron Furnace","","","","",""
"Goods.Good.IronIngots.Name",805680668723,"","Iron Ingots","","","","",""
"Goods.Good.Jewelry.Building",805684862997,"","Jeweler","","","","",""
"Goods.Good.Jewelry.Name",805684862996,"","Jewelry","","","","",""
"Goods.Good.Leather.Building",805680668726,"","Tanner","","","","",""
"Goods.Good.Leather.Name",805680668725,"","Leather","","","","",""
"Goods.Good.Lime.Building",805684862979,"","Lime Kiln","","","","",""
"Goods.Good.Lime.Name",805684862978,"","Lime","","","","",""
"Goods.Good.Linen.Building",805684862977,"","Weaver's Hut","","","","",""
"Goods.Good.Linen.Name",805684862976,"","Linen","","","","",""
"Goods.Good.Logs.Building",805680668692,"","Lumberjack","","","","",""
"Goods.Good.Logs.Name",805680668691,"","Logs","","","","",""
"Goods.Good.MedicalRations.Building",805684862999,"","Alchemist Lab","","","","",""
"Goods.Good.MedicalRations.Name",805684862998,"","Medical Rations","","","","",""
"Goods.Good.Mussels.Building",805680668694,"","Mussel Beds","","","","",""
"Goods.Good.Mussels.Name",805680668693,"","Mussels","","","","",""
"Goods.Good.PaddedClothing.Building",805684863001,"","Textile Works","","","","",""
"Goods.Good.PaddedClothing.Name",805684863000,"","Padded Clothing","","","","",""
"Goods.Good.Pearls.Building",805684862981,"","Pearl Diver","","","","",""
"Goods.Good.Pearls.Name",805684862980,"","Pearls","","","","",""
"Goods.Good.Pickles.Building",805684862983,"","Pickling Cellar","","","","",""
"Goods.Good.Pickles.Name",805684862982,"","Pickles","","","","",""
"Goods.Good.Pigments.Building",805684862985,"","Seaweed Refinery","","","","",""
"Goods.Good.Pigments.Name",805684862984,"","Pigments","","","","",""
"Goods.Good.Provisions.Building",805684863003,"","Provisioner","","","","",""
"Goods.Good.Provisions.Name",805684863002,"","Provisions","","","","",""
"Goods.Good.RawOre.Building",805680668696,"","Ore Mine","","","","",""
"Goods.Good.RawOre.Name",805680668695,"","Raw Ore","","","","",""
"Goods.Good.RawStone.Building",805680668698,"","Stone Mine","","","","",""
"Goods.Good.RawStone.Name",805680668697,"","Raw Stone","","","","",""
"Goods.Good.Seaweed.Building",805680668700,"","Seaweed Beds","","","","",""
"Goods.Good.Seaweed.Name",805680668699,"","Seaweed","","","","",""
"Goods.Good.Sheep.Building",805680668702,"","Sheep Pasture","","","","",""
"Goods.Good.Sheep.Name",805680668701,"","Sheep","","","","",""
"Goods.Good.Shells.Building",805680668704,"","Shelldiver","","","","",""
"Goods.Good.Shells.Name",805680668703,"","Shells","","","","",""
"Goods.Good.Tents.Building",805684863005,"","Canvas Works","","","","",""
"Goods.Good.Tents.Name",805684863004,"","Tents","","","","",""
"Goods.Good.Thatch.Building",805684862987,"","Thatch Packer","","","","",""
"Goods.Good.Thatch.Name",805684862986,"","Thatch","","","","",""
"Goods.Good.Vegetables.Building",805680668706,"","Vegetable Beds","","","","",""
"Goods.Good.Vegetables.Name",805680668705,"","Vegetables","","","","",""
"Goods.Good.Weapons.Building",805684863009,"","Weapon Smith","","","","",""
"Goods.Good.Weapons.Name",805684863008,"","Weapons","","","","",""
"Goods.Good.WildGame.Building",805680668708,"","Hunter","","","","",""
"Goods.Good.WildGame.Name",805680668707,"","Wild Game","","","","",""
"Goods.Good.WoodenPlanks.Building",805684862989,"","Sawmill","","","","",""
"Goods.Good.WoodenPlanks.Name",805684862988,"","Wooden Planks","","","","",""
"Goods.Good.Wool.Building",805680668720,"","Shearer's Shop","","","","",""
"Goods.Good.Wool.Name",805680668719,"","Wool","","","","",""
"Goods.Region.Fields",805684863022,"","Fields","","","","",""
"Goods.Region.Forest",805684863020,"","Forest","","","","",""
"Goods.Region.Mountains",805684863023,"","Mountains","","","","",""
"Goods.Region.Ocean",805684863021,"","Ocean","","","","",""
"Goods.Selector.Complex",805680668676,"","for {0} goods from {1}","","","","",""
"Goods.Selector.For",805680668675,"","for {0}","","","","",""
"Goods.Selector.ForAll",805680668674,"","for all goods","","","","",""
"Goods.Tootlip.AvgPurchasePrice",805684863026,"","Avg Purchase Price","","","","",""
"Goods.Tootlip.BasePrice",805684863025,"","Base Price","","","","",""
"Goods.Tootlip.CurrentPrice",805684863024,"","Current Price","","","","",""
