Key,Id,English(en)
Tutorial.Topic.Controls.Steps.TravelingToTowns.Title,,Traveling to Towns
Tutorial.Topic.Controls.Steps.TravelingToTowns.Description,,Right-click on a town to move your caravan there. Travel takes time and costs upkeep.
Tutorial.Topic.Controls.Steps.TownDetails.Title,,Town Details
Tutorial.Topic.Controls.Steps.TownDetails.Description,,Left-click towns and production zones to inspect their details.
Tutorial.Topic.Towns.Title,,Towns
Tutorial.Topic.Towns.Steps.General.Title,,General
Tutorial.Topic.Towns.Steps.General.Description,,"Towns are your way of winning games. You will trade with them, get them on your side, complete their missions and help them develop and prosper."
Tutorial.Topic.Towns.Steps.Development.Title,,Development
Tutorial.Topic.Towns.Steps.Development.Description,,"Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and building production increases the towns development trend.\n\nWith growing development more and more development milestones unlock, improving the towns stats and enabling further trade opportunities."
Tutorial.Topic.Towns.Steps.Missions.Title,,Missions
Tutorial.Topic.Towns.Steps.Missions.Description,,"Towns will occasionally start trade missions where they request specific goods. Fulfilling these requests will aid their development. Failing to supply requested goods in time will set the town back however."
Tutorial.Topic.Towns.Steps.AdvancingTownTiers.Title,,Advancing Town Tiers
Tutorial.Topic.Towns.Steps.AdvancingTownTiers.Description,,"To help a town advance to the next tier, you must complete its upgrade missions. These become available once the town reaches a development of 100.\n\nTowns of higher tiers can produce higher tier goods which usually have better margins for you."
Tutorial.Topic.Towns.Steps.Reputation.Title,,Reputation
Tutorial.Topic.Towns.Steps.Reputation.Description,,"Towns remember how you treat them. Their opinion of you changes with each trade and as you help them develop or choose to neglect them.\n\nTrades, constuction of buildings, failing or completing missions, among others all influence your reputation with towns."
Tutorial.Topic.Towns.Steps.ProductionBuildings.Title,,Production Buildings
Tutorial.Topic.Towns.Steps.ProductionBuildings.Description,,"You can finance production buildings in towns to make them produce goods and raise development.\n\nConstructing producers is essential as they add more resources to your trade network and enable you to complete missions, react to world events and make profits by supplying the right goods at the right time."
Tutorial.Topic.Towns.Steps.ProducerTiers.Title,,Producer Tiers
Tutorial.Topic.Towns.Steps.ProducerTiers.Description,,"Tier I buildings can be built based on the towns neighboring regions.\n\nTier II buildings are built on top of Tier I buildings.\n\nTier III buildings are built on top of a Tier II producer and require a seconds Tier II good to produce Tier III goods. This second good can either be produced in the town or must be delivered (sold) by you."
Tutorial.Topic.Development.Title,,Town Development
Tutorial.Topic.Development.Steps.Development.Title,,Development
Tutorial.Topic.Development.Steps.Development.Description,,"Each town has a development gauge that reflects its growth over time. Supplying foreign goods, completing missions and financing production buildings increases the towns development trend.\n\nWith growing development more and more milestones unlock, improving the towns stats and enabling further trade opportunities."
Tutorial.Topic.Development.Steps.Missions.Title,,Missions
Tutorial.Topic.Development.Steps.Missions.Description,,"Towns will occasionally start trade missions, where they specific goods.\n\nFulfilling these requests will aid their development. Failing to supply these requested goods in time will set the town back however.\n\nChoose wisely whom to help and whom to ignore as you will likely not have enough time to satisfy everyone."
Tutorial.Topic.Development.Steps.TownTiers.Title,,Town Tiers
Tutorial.Topic.Development.Steps.TownTiers.Description,,"To help a town advance to the next tier, you must fulfill its upgrade missions. These become available once the town reaches a development of 100.\n\nTowns of higher tiers can produce higher tier goods which have better margins for you."
Tutorial.Topic.Production.Title,,Town Production
Tutorial.Topic.Production.Steps.ProductionBuildings.Title,,Production Buildings
Tutorial.Topic.Production.Steps.ProductionBuildings.Description,,"You can finance production buildings in towns to make them produce goods and raise development.\n\nConstructing producers is essential as they add more resources to your trade network and enable you to complete missions, react to world events and make profits by supplying the right goods at the right time."
Tutorial.Topic.Production.Steps.ProductionTiers.Title,,Production Tiers
Tutorial.Topic.Production.Steps.ProductionTiers.Description,,"Tier I buildings can be built based on the towns neighboring regions.\n\nTier II buildings are built on top of Tier I buildings.\n\nTier III buildings are built on top of a Tier II producer and require a seconds Tier II good to produce Tier III goods. This second good can either be produced in the town or must be delivered (sold) by you."
Tutorial.Topic.Caravan.Title,,Caravan
Tutorial.Topic.Caravan.Steps.CartsAndUpgrades.Title,,Carts & Upgrades
Tutorial.Topic.Caravan.Steps.CartsAndUpgrades.Description,,"As you make more money and expand your trade network you will develop the need to move faster and haul more goods.\n\nTo do this, you can upgrade your carts or purchase new ones. But be careful! A larger caravan also requires more upkeep."
Tutorial.Topic.Retinue.Title,,Retinue
Tutorial.Topic.Retinue.Steps.Companions.Title,,Companions
Tutorial.Topic.Retinue.Steps.Companions.Description,,"You can recruit companions to your retinue. Each companion provides unique bonuses which affect your ability to trade, travel and advance in various ways.\n\nMake sure to hover your mouse over the various upgrades to see their effects."
