"Key","Shared Comments","English(en)"
"levels.Conditions.Model.FundsWinCondition.coin","Used in Assets/Features\Levels\Conditions\Model\FundsWinCondition.cs (C#). Keep concise and natural for players.","{_Value1}/{_Value1} coin"
"levels.Conditions.Model.GlobalReputationWinCondition.globalReputation","Used in Assets/Features\Levels\Conditions\Model\GlobalReputationWinCondition.cs (C#). Keep concise and natural for players.","{_Value1}/{_Value1} global reputation"
"levels.Conditions.Model.LocalReputationWinCondition.towns","Used in Assets/Features\Levels\Conditions\Model\LocalReputationWinCondition.cs (C#). Keep concise and natural for players.","{_Value1}/{_Value1} towns"
"levels.Conditions.Model.LossConditionNotification.lossImminent","Used in Assets/Features\Levels\Conditions\Model\LossConditionNotification.cs (C#). Keep concise and natural for players.","Loss Imminent"
"levels.Conditions.Model.TimeoutLossCondition.daysLeft","Used in Assets/Features\Levels\Conditions\Model\TimeoutLossCondition.cs (C#). Keep concise and natural for players.","{_Value1} days left"
"levels.Conditions.Model.TimeoutLossCondition.youReRunningOutOfTimeYou","Used in Assets/Features\Levels\Conditions\Model\TimeoutLossCondition.cs (C#). Keep concise and natural for players.","You're running out of time! You have {_Value1} days left to win."
"levels.Conditions.Model.TimeoutLossCondition.youVeRunOutOfTimeYou","Used in Assets/Features\Levels\Conditions\Model\TimeoutLossCondition.cs (C#). Keep concise and natural for players.","You've run out of time! You had until {_Value1} to win."
"levels.Conditions.Model.TownTierWinCondition.tierTowns","Used in Assets/Features\Levels\Conditions\Model\TownTierWinCondition.cs (C#). Keep concise and natural for players.","{_Value1}/{_Value1} Tier {_Value1} towns"
"levels.Conditions.UI.InGameWinConditionListItem.99999999","Used in Assets/Features\Levels\Conditions\UI\InGameWinConditionListItem.prefab (m_text line 165).","9999/9999"
"levels.Conditions.UI.InGameWinConditionListItem.line1Description","Used in Assets/Features\Levels\Conditions\UI\InGameWinConditionListItem.prefab (m_text line 415).","'Line 1 Description"
"levels.Conditions.UI.PregameConditionListItem.descriptionLine1","Used in Assets/Features\Levels\Conditions\UI\PregameConditionListItem.prefab (m_text line 332).","'Description Line 1"
"levels.Conditions.UI.WinLossConditionsPanel.lossConditions","Used in Assets/Features\Levels\Conditions\UI\WinLossConditionsPanel.prefab (m_text line 207).","Loss Conditions"
"levels.Conditions.UI.WinLossConditionsPanel.winConditions","Used in Assets/Features\Levels\Conditions\UI\WinLossConditionsPanel.prefab (m_text line 344).","Win Conditions"
"levels.Data.Level1.Level1ModifierData.goldenTimes","Used in Assets/Features\Levels\Data\Level1\Level1ModifierData.asset (Title line 15).","Golden Times"
"levels.Data.Level1.Level1ModifierData.thingsHaveBeenGreatThesePastFew","Used in Assets/Features\Levels\Data\Level1\Level1ModifierData.asset (Description line 16).","Things have been great these past few years. The pepole are happy and healthy and life is good."
"levels.Data.Level2.Level2ModifierData.nonOceanTownsOnlyRequestOceanGoods","Used in Assets/Features\Levels\Data\Level2\Level2ModifierData.asset (manualDescription line 37).","Non-Ocean towns only request Ocean goods in their missions. - rid: 4950215272220852487"
"levels.Data.Level2.Level2ModifierData.plentifulOceans","Used in Assets/Features\Levels\Data\Level2\Level2ModifierData.asset (Title line 15).","Plentiful Oceans"
"levels.Data.Level2.Level2ModifierData.theOceansArePlentifulHereSadlyThat","Used in Assets/Features\Levels\Data\Level2\Level2ModifierData.asset (Description line 16).","The oceans are plentiful here. Sadly, that's about the only thing plentiful. Everything else is expensvie and hard to get. So, towns really want to get some briny, juicy ocean stuff!"
"levels.Data.Level3.Level3ModifierData.peopleInThisAreaLikeToStick","Used in Assets/Features\Levels\Data\Level3\Level3ModifierData.asset (Description line 16).","People in this area like to stick to themselves and don't trust the others. You start with towns of one region on your side and will need to play your cards right to please everyone."
"levels.Data.Level3.Level3ModifierData.timesOfMistrust","Used in Assets/Features\Levels\Data\Level3\Level3ModifierData.asset (Title line 15).","Times of Mistrust"
"levels.Data.Level4.Level4.text","Used in Assets/Features\Levels\Data\Level4\Level4.asset (Conditions line 39).","[]"
"levels.Data.Level5.Level5.text","Used in Assets/Features\Levels\Data\Level5\Level5.asset (Conditions line 39).","[]"
"levels.Data.Tutorial.TutorialLevel.berryhavenRid5229624270274691181","Used in Assets/Features\Levels\Data\Tutorial\TutorialLevel.prefab (name line 169).","Berryhaven - rid: 5229624270274691181"
"levels.Data.Tutorial.TutorialLevel.hayvilleRid5229624270274691176","Used in Assets/Features\Levels\Data\Tutorial\TutorialLevel.prefab (name line 70).","Hayville - rid: 5229624270274691176"
"levels.Data.Tutorial.TutorialLevelData.tutorial","Used in Assets/Features\Levels\Data\Tutorial\TutorialLevelData.asset (Title line 15).","Tutorial"
"levels.GameModifiers.Data.GameModifierData.text","Used in Assets/Features\Levels\GameModifiers\Data\GameModifierData.cs (C#). Keep concise and natural for players.","- {_Value1}"
"levels.GameModifiers.Effects.Data.AllyEffectData.yourAlliesWillStartTheGameWith","Used in Assets/Features\Levels\GameModifiers\Effects\Data\AllyEffectData.cs (C#). Keep concise and natural for players.","Your allies will start the game with a high reputation of you."
"levels.GameModifiers.Effects.Data.DevelopmentEffectData.developmentChangeRate","Used in Assets/Features\Levels\GameModifiers\Effects\Data\DevelopmentEffectData.cs (C#). Keep concise and natural for players.","{_Value1} development change rate"
"levels.GameModifiers.Effects.Data.MissionLimiterEffectData.regionsThatTheTownCANNOTHaveTo","Used in Assets/Features\Levels\GameModifiers\Effects\Data\MissionLimiterEffectData.cs (C#). Keep concise and natural for players.","Regions that the town CANNOT have to be affected."
"levels.GameModifiers.Effects.Data.MovementSpeedEffectData.caravanMovementSpeed","Used in Assets/Features\Levels\GameModifiers\Effects\Data\MovementSpeedEffectData.cs (C#). Keep concise and natural for players.","{_Value1} caravan movement speed"
"levels.GameModifiers.Effects.Data.PriceEffectData.purchase","Used in Assets/Features\Levels\GameModifiers\Effects\Data\PriceEffectData.cs (C#). Keep concise and natural for players.","purchase"
"levels.GameModifiers.Effects.Data.PriceEffectData.sale","Used in Assets/Features\Levels\GameModifiers\Effects\Data\PriceEffectData.cs (C#). Keep concise and natural for players.","sale"
"levels.GameModifiers.Effects.Data.ReputationEffectData.forAllReputationChanges","Used in Assets/Features\Levels\GameModifiers\Effects\Data\ReputationEffectData.cs (C#). Keep concise and natural for players.","{_Value1} for all reputation changes"
"levels.GameModifiers.Effects.Logic.AllyEffectLogic.isNotImplemented","Used in Assets/Features\Levels\GameModifiers\Effects\Logic\AllyEffectLogic.cs (C#). Keep concise and natural for players.","{_Value1}.{_Value1}() is not implemented."
"levels.GameModifiers.Effects.Logic.AllyEffectLogic.thisTownIsYourAlly","Used in Assets/Features\Levels\GameModifiers\Effects\Logic\AllyEffectLogic.cs (C#). Keep concise and natural for players.","This town is your ally."
"levels.GameModifiers.Effects.Logic.AllyEffectLogic.thisTownIsYourFoe","Used in Assets/Features\Levels\GameModifiers\Effects\Logic\AllyEffectLogic.cs (C#). Keep concise and natural for players.","This town is your foe."
"levels.GameModifiers.Logic.EffectPercentModifier.eventHeavyRain","Used in Assets/Features\Levels\GameModifiers\Logic\EffectPercentModifier.cs (C#). Keep concise and natural for players.","Event: Heavy Rain"
"levels.GameModifiers.Logic.EffectPercentModifier.levelModifierGoldenTimes","Used in Assets/Features\Levels\GameModifiers\Logic\EffectPercentModifier.cs (C#). Keep concise and natural for players.","Level Modifier: Golden Times"
"levels.GameModifiers.Logic.GameModifierService.event","Used in Assets/Features\Levels\GameModifiers\Logic\GameModifierService.cs (C#). Keep concise and natural for players.","Event"
"levels.GameModifiers.Logic.GameModifierService.gameEventsNeedAnEndDateEvent","Used in Assets/Features\Levels\GameModifiers\Logic\GameModifierService.cs (C#). Keep concise and natural for players.","Game events need an end date! Event was not executed."
"levels.GameModifiers.Logic.GameModifierService.levelCondition","Used in Assets/Features\Levels\GameModifiers\Logic\GameModifierService.cs (C#). Keep concise and natural for players.","Level Condition"
"levels.GameModifiers.Logic.GameModifierService.unhandledEffectData","Used in Assets/Features\Levels\GameModifiers\Logic\GameModifierService.cs (C#). Keep concise and natural for players.","Unhandled effect data: {_Value1}"
"levels.GameModifiers.Logic.GameModifierService.unknown","Used in Assets/Features\Levels\GameModifiers\Logic\GameModifierService.cs (C#). Keep concise and natural for players.","Unknown"
"levels.GameModifiers.UI.GameEventListUI.ongoingEvents","Used in Assets/Features\Levels\GameModifiers\UI\GameEventListUI.cs (C#). Keep concise and natural for players.","Ongoing Events ({_Value1})"
"levels.GameModifiers.UI.GameModifierUIElement.effect1IsVeryVeryVeryVery","Used in Assets/Features\Levels\GameModifiers\UI\GameModifierUIElement.prefab (m_text line 69).","'- effect 1 is very very very very very very very very very very very very very very very long"
"levels.GameModifiers.UI.GameModifierUIElement.oceanResourcesArePlentifulInThisMap","Used in Assets/Features\Levels\GameModifiers\UI\GameModifierUIElement.prefab (m_text line 237).","Ocean resources are plentiful in this map. Sadly, that's about the only plentiful stuff. All towns really want to get some briny, juicy ocean stuff!"
"levels.GameModifiers.UI.GameModifierUIElement.plentifulOceans","Used in Assets/Features\Levels\GameModifiers\UI\GameModifierUIElement.prefab (m_text line 491).","Plentiful Oceans"
"levels.GameModifiers.UI.InGameLevelConditionsPanel.ongoingEvents","Used in Assets/Features\Levels\GameModifiers\UI\InGameLevelConditionsPanel.prefab (m_text line 409).","'Ongoing Events '"
"levels.GameModifiers.UI.PregamLevelConditionUI.levelModifier","Used in Assets/Features\Levels\GameModifiers\UI\PregamLevelConditionUI.prefab (m_text line 416).","Level Modifier"
"levels.GameModifiers.UI.TimedGameModifierUIElement.6DaysLeft","Used in Assets/Features\Levels\GameModifiers\UI\TimedGameModifierUIElement.prefab (m_text line 69).","6 days left"
"levels.GameModifiers.UI.TimedGameModifierUIElement.daysLeft","Used in Assets/Features\Levels\GameModifiers\UI\TimedGameModifierUIElement.cs (C#). Keep concise and natural for players.","{_Value1} days left"
"levels.Serialization.GamePersistenceService.completedLevels","Used in Assets/Features\Levels\Serialization\GamePersistenceService.cs (C#). Keep concise and natural for players.","CompletedLevels"
"levels.Serialization.GamePersistenceService.levelTxt","Used in Assets/Features\Levels\Serialization\GamePersistenceService.cs (C#). Keep concise and natural for players.","Level{_Value1}.txt"
"levels.Serialization.GamePersistenceService.ongoingLevels","Used in Assets/Features\Levels\Serialization\GamePersistenceService.cs (C#). Keep concise and natural for players.","OngoingLevels"
