"Key","Shared Comments","English(en)"
"towns.Missions.UI.TownUIMissionSection.tradeMissions","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSection.prefab (m_text line 464).","Trade Missions"
"towns.Missions.UI.TownUIMissionSection.upgradeMission","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSection.prefab (m_text line 256).","Upgrade Mission"
"towns.Missions.UI.TownUIMissionSectionItem.1015Delivered","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSectionItem.prefab (m_text line 549).","10/15 delivered"
"towns.Missions.UI.TownUIMissionSectionItem.999DaysLeft","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSectionItem.prefab (m_text line 411).","999 days left"
"towns.Missions.UI.TownUIMissionSectionItem.daysLeft","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSectionItem.cs (C#). Keep concise and natural for players.","{_Value1} days left"
"towns.Missions.UI.TownUIMissionSectionItem.delivered","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSectionItem.cs (C#). Keep concise and natural for players.","{_Value1}/{_Value1} delivered"
"towns.Missions.UI.TownUIMissionSectionItem.sell","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSectionItem.cs (C#). Keep concise and natural for players.","Sell {_Value1} {_Value1}"
"towns.Missions.UI.TownUIMissionSectionItem.sell15Fish","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSectionItem.prefab (m_text line 792).","Sell 15 Fish"
"towns.Missions.UI.TownUIMissionSectionItem.x","Used in Assets/Features\Towns\Missions\UI\TownUIMissionSectionItem.prefab (m_text line 210).","X"
"towns.Overlays.TownOverlay.willowwoodville","Used in Assets/Features\Towns\Overlays\TownOverlay.prefab (m_text line 523).","Willowwoodville"
"towns.Production.Config.ProducerConfig.constructionCosts","Used in Assets/Features\Towns\Production\Config\ProducerConfig.cs (C#). Keep concise and natural for players.","Construction Costs"
"towns.Production.Config.ProducerConfig.cost","Used in Assets/Features\Towns\Production\Config\ProducerConfig.cs (C#). Keep concise and natural for players.","Cost"
"towns.Production.Config.ProducerConfig.goodTier","Used in Assets/Features\Towns\Production\Config\ProducerConfig.cs (C#). Keep concise and natural for players.","Good Tier"
"towns.Production.Config.ProducerConfig.producerTier","Used in Assets/Features\Towns\Production\Config\ProducerConfig.cs (C#). Keep concise and natural for players.","Producer Tier"
"towns.Production.Config.ProducerConfig.productionLimit","Used in Assets/Features\Towns\Production\Config\ProducerConfig.cs (C#). Keep concise and natural for players.","Production Limit"
"towns.Production.Config.ProducerConfig.productionLimits","Used in Assets/Features\Towns\Production\Config\ProducerConfig.cs (C#). Keep concise and natural for players.","Production Limits"
"towns.Production.Config.ProducerConfig.productionRate","Used in Assets/Features\Towns\Production\Config\ProducerConfig.cs (C#). Keep concise and natural for players.","Production Rate"
"towns.Production.Config.ProducerResources.goodTier","Used in Assets/Features\Towns\Production\Config\ProducerResources.cs (C#). Keep concise and natural for players.","Good Tier"
"towns.Production.Config.ProducerResources.nameForProductionBuilding","Used in Assets/Features\Towns\Production\Config\ProducerResources.cs (C#). Keep concise and natural for players.","Name for production building"
"towns.Production.Logic.BaseConsumptionValue.baseConsumption","Used in Assets/Features\Towns\Production\Logic\BaseConsumptionValue.cs (C#). Keep concise and natural for players.","Base Consumption"
"towns.Production.Logic.BaseProductionValue.baseProductionForTier","Used in Assets/Features\Towns\Production\Logic\BaseProductionValue.cs (C#). Keep concise and natural for players.","Base production for Tier {_Value1}"
"towns.Production.Logic.BaseTownFundsProduction.baseProductionForTierTown","Used in Assets/Features\Towns\Production\Logic\BaseTownFundsProduction.cs (C#). Keep concise and natural for players.","Base production for Tier {_Value1} town."
"towns.Production.Logic.Producer.consumptionRate","Used in Assets/Features\Towns\Production\Logic\Producer.cs (C#). Keep concise and natural for players.","Consumption Rate"
"towns.Production.Logic.Producer.noProductionLimitIsSetForTown","Used in Assets/Features\Towns\Production\Logic\Producer.cs (C#). Keep concise and natural for players.","No production limit is set for town {_Value1} and good {_Value1}."
"towns.Production.Logic.Producer.productionRate","Used in Assets/Features\Towns\Production\Logic\Producer.cs (C#). Keep concise and natural for players.","Production Rate"
"towns.Production.Logic.ProducerDevelopmentModifier.productionBuildings","Used in Assets/Features\Towns\Production\Logic\ProducerDevelopmentModifier.cs (C#). Keep concise and natural for players.","{_Value1} {_Value1} production buildings."
"towns.Production.Logic.TownProductionSystem.aProductionTickerHasAlreadyBeenAdded","Used in Assets/Features\Towns\Production\Logic\TownProductionSystem.cs (C#). Keep concise and natural for players.","A production ticker has already been added for '{_Value1}'"
"towns.Production.UI.Construction.Tier1ConstructionPopup.shouldnTObservePlayerRightNowNo","Used in Assets/Features\Towns\Production\UI\Construction\Tier1ConstructionPopup.cs (C#). Keep concise and natural for players.","{_Value1} shouldn't observe player right now. No town set up."
"towns.Production.UI.Construction.Tier1ConstructionPopup.theTownHasNoMoreEmptyBuilding","Used in Assets/Features\Towns\Production\UI\Construction\Tier1ConstructionPopup.cs (C#). Keep concise and natural for players.","The town has no more empty building slots for {_Value1}."
"towns.Production.UI.Construction.Tier2ConstructionPopup.shouldnTObservePlayerRightNowNo","Used in Assets/Features\Towns\Production\UI\Construction\Tier2ConstructionPopup.cs (C#). Keep concise and natural for players.","{_Value1} shouldn't observe player right now. No town set up."
"towns.Production.UI.Construction.Tier2ConstructionPopup.theTownHasNoMoreEmptyBuilding","Used in Assets/Features\Towns\Production\UI\Construction\Tier2ConstructionPopup.cs (C#). Keep concise and natural for players.","The town has no more empty building slots for {_Value1}."
"towns.Production.UI.Construction.Tier2ConstructionPopup.townHasNoProducerInSlot","Used in Assets/Features\Towns\Production\UI\Construction\Tier2ConstructionPopup.cs (C#). Keep concise and natural for players.","Town {_Value1} has no producer in slot {_Value1}."
"towns.Production.UI.Construction.Tier3ConstructionPopup.shouldnTObservePlayerRightNowNo","Used in Assets/Features\Towns\Production\UI\Construction\Tier3ConstructionPopup.cs (C#). Keep concise and natural for players.","{_Value1} shouldn't observe player right now. No town set up."
"towns.Production.UI.Construction.Tier3ConstructionPopup.theTownHasNoMoreEmptyBuilding","Used in Assets/Features\Towns\Production\UI\Construction\Tier3ConstructionPopup.cs (C#). Keep concise and natural for players.","The town has no more empty building slots for {_Value1}."
"towns.Production.UI.ProducerGroup.couldNotToggleCellOnT2cellT3","Used in Assets/Features\Towns\Production\UI\ProducerGroup.cs (C#). Keep concise and natural for players.","Could not toggle cell on t2cell {_Value1}, t3 cell {_Value1}"
"towns.Production.UI.ProducerGroup.noMoreGoodsAvailable","Used in Assets/Features\Towns\Production\UI\ProducerGroup.prefab (m_text line 212).","no more goods available"
"towns.Production.UI.ProducerGroup.producer","Used in Assets/Features\Towns\Production\UI\ProducerGroup.cs (C#). Keep concise and natural for players.","Producer {_Value1}"
"towns.Production.UI.ProducerGroup.producer1","Used in Assets/Features\Towns\Production\UI\ProducerGroup.prefab (m_text line 603).","Producer 1"
"towns.Production.UI.ProducerGroup.travelHereToBuyGoodsAndConstruct","Used in Assets/Features\Towns\Production\UI\ProducerGroup.prefab (defaultText line 848).","Travel here to buy goods and construct buildings."
"towns.Production.UI.ProductionCell.thereAreNoAvailableProductionRecipesFor","Used in Assets/Features\Towns\Production\UI\ProductionCell.prefab (defaultText line 172).","There are no available production recipes for this building."
"towns.Production.UI.ProductionTierGroup.tier","Used in Assets/Features\Towns\Production\UI\ProductionTierGroup.prefab (m_text line 228).","Tier"
"towns.Production.UI.TownUIProductionSection.productionBuildings","Used in Assets/Features\Towns\Production\UI\TownUIProductionSection.prefab (m_text line 411).","Production Buildings"
"towns.Reputation.Logic.ProductionBuildingReputationSystem.playerConstructedAProductionBuildingOf","Used in Assets/Features\Towns\Reputation\Logic\ProductionBuildingReputationSystem.cs (C#). Keep concise and natural for players.","Player constructed a production building ({_Value1}) of {_Value1}"
"towns.Reputation.Logic.TownNeglectSystem.theTownHasBeenNeglectedForMore","Used in Assets/Features\Towns\Reputation\Logic\TownNeglectSystem.cs (C#). Keep concise and natural for players.","The town has been neglected for more than {_Value1} days."
"towns.Town.fundsChangePerDay","Used in Assets/Features\Towns\Town.cs (C#). Keep concise and natural for players.","Funds change per day"
"towns.Town.town","Used in Assets/Features\Towns\Town.cs (C#). Keep concise and natural for players.","Town"
"towns.UI.InventoryTierGroup.thereIsNoFreeCellFor","Used in Assets/Features\Towns\UI\InventoryTierGroup.cs (C#). Keep concise and natural for players.","There is no free cell for {_Value1}."
"towns.UI.InventoryTierGroup.tier","Used in Assets/Features\Towns\UI\InventoryTierGroup.prefab (m_text line 426).","Tier"
"towns.UI.InventoryTierGroup.triedAddingToForTier","Used in Assets/Features\Towns\UI\InventoryTierGroup.cs (C#). Keep concise and natural for players.","Tried adding {_Value1} to {_Value1} ({_Value1}) for Tier {_Value1}."
"towns.UI.InventoryTierGroup.unlockedWhenTownReaches","Used in Assets/Features\Towns\UI\InventoryTierGroup.cs (C#). Keep concise and natural for players.","Unlocked when town reaches {_Value1}."
"towns.UI.TownUIDevelopmentSection.100234","Used in Assets/Features\Towns\UI\TownUIDevelopmentSection.prefab (m_text line 290).","+100.234"
"towns.UI.TownUIDevelopmentSection.day","Used in Assets/Features\Towns\UI\TownUIDevelopmentSection.cs (C#). Keep concise and natural for players.","{_Value1}{_Value1}/day"
"towns.UI.TownUIDevelopmentSection.development","Used in Assets/Features\Towns\UI\TownUIDevelopmentSection.cs (C#). Keep concise and natural for players.","Development: {_Value1}"
"towns.UI.TownUIDevelopmentSection.development.330f49","Used in Assets/Features\Towns\UI\TownUIDevelopmentSection.prefab (m_text line 133).","Development"
"towns.UI.TownUIHeaderSection.999Day","Used in Assets/Features\Towns\UI\TownUIHeaderSection.prefab (m_text line 1327).","+999 /day"
"towns.UI.TownUIHeaderSection.averton","Used in Assets/Features\Towns\UI\TownUIHeaderSection.prefab (m_text line 1012).","Averton"
"towns.UI.TownUIHeaderSection.day","Used in Assets/Features\Towns\UI\TownUIHeaderSection.cs (C#). Keep concise and natural for players.","{_Value1}{_Value1} /day"
"towns.UI.TownUIHeaderSection.funds","Used in Assets/Features\Towns\UI\TownUIHeaderSection.prefab (m_text line 291).","'Funds: '"
"towns.UI.TownUIHeaderSection.reputation","Used in Assets/Features\Towns\UI\TownUIHeaderSection.prefab (m_text line 69).","'Reputation:'"
"towns.UI.TownUIHeaderSection.town","Used in Assets/Features\Towns\UI\TownUIHeaderSection.prefab (m_text line 1690).","Town"
"towns.UI.TownUIInventorySection.section","Used in Assets/Features\Towns\UI\TownUIInventorySection.cs (C#). Keep concise and natural for players.","Section"
"towns.UI.TownUIInventorySection.tier","Used in Assets/Features\Towns\UI\TownUIInventorySection.cs (C#). Keep concise and natural for players.","Tier"
"towns.UI.TownUIInventorySection.townInventory","Used in Assets/Features\Towns\UI\TownUIInventorySection.prefab (m_text line 69).","Town Inventory"
