"Key","Shared Comments","English(en)"
"common.Trade.UI.TradeUI.attemptedToCompleteInvalidTrade","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","Attempted to complete invalid trade.: {_Value1}"
"common.Trade.UI.TradeUI.buy","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","Buy"
"common.Trade.UI.TradeUI.buySell","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 68).","Buy/Sell"
"common.Trade.UI.TradeUI.coin","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","{_Value1}{_Value1} coin"
"common.Trade.UI.TradeUI.doesNotHaveEnoughCoin","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","{_Value1} does not have enough coin."
"common.Trade.UI.TradeUI.funds","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","Funds: {_Value1} ({_Value1})"
"common.Trade.UI.TradeUI.funds.f57c02","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","Funds: {_Value1} ({_Value1})"
"common.Trade.UI.TradeUI.funds4000001234567","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 821).","'Funds: 400,000 (+12345.67)'"
"common.Trade.UI.TradeUI.reputation","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","Reputation: {_Value1} ({_Value1})"
"common.Trade.UI.TradeUI.reputation99934","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 2530).","'Reputation: 99.9 (-3.4)'"
"common.Trade.UI.TradeUI.sell","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","Sell"
"common.Trade.UI.TradeUI.text","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","+{_Value1}"
"common.Trade.UI.TradeUI.text.d24207","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","-{_Value1}"
"common.Trade.UI.TradeUI.trade","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 3170).","Trade"
"common.Trade.UI.TradeUI.willowwoodville","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 1984).","Willowwoodville"
"common.Trade.UI.TradeUI.x","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","x{_Value1}"
"common.Trade.UI.TradeUI.x.02129b","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 3032).","X"
"common.Trade.UI.TradeUI.you","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 978).","You"
"common.Trade.UI.TradeUI.youDoNotHaveEnoughCoin","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","You do not have enough coin."
"common.Trade.UI.TradeUI.youWillBeMakingALossOf","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","You will be making a loss of {_Value1} with this trade."
"common.Trade.UI.TradeUI.youWillBeMakingAProfitOf","Used in Assets/Features\Trade\UI\TradeUI.cs (C#). Keep concise and natural for players.","You will be making a profit of {_Value1} with this trade."
"common.Trade.UI.TradeUI.youWillBeMakingAProfitOf.a6f3a6","Used in Assets/Features\Trade\UI\TradeUI.prefab (m_text line 1452).","You will be making a profit of 1234567.8 coin with this trade."
"common.Types.Date.dayOfYear","Used in Assets/Common\Types\Date.cs (C#). Keep concise and natural for players.","Day {_Value1} of Year {_Value1}"
"common.Types.Date.yearDay","Used in Assets/Common\Types\Date.cs (C#). Keep concise and natural for players.","Year: {_Value1}, Day: {_Value1}"
"common.Types.TierExtensions.tier","Used in Assets/Common\Types\TierExtensions.cs (C#). Keep concise and natural for players.","Tier {_Value1}"
"common.UI.Art.SimpleAnimatorHandler.play","Used in Assets/Common\UI\Art\SimpleAnimatorHandler.cs (C#). Keep concise and natural for players.","Play"
"common.UI.Credits.CreditsEntry.programmingGameDesignUIDesign","Used in Assets/Common\UI\Credits\CreditsEntry.prefab (m_text line 68).","Programming, Game Design, UI Design"
"common.UI.Credits.CreditsEntry.tomIlle","Used in Assets/Common\UI\Credits\CreditsEntry.prefab (m_text line 301).","Tom Ille"
"common.UI.Credits.CreditsUI.andCountlessOthers","Used in Assets/Common\UI\Credits\CreditsUI.prefab (m_text line 282).","and countless others."
"common.UI.Credits.CreditsUI.credits","Used in Assets/Common\UI\Credits\CreditsUI.prefab (m_text line 125).","Credits"
"common.UI.DateGauge.year1Day123","Used in Assets/Common\UI\DateGauge.prefab (m_text line 194).","Year 1. Day  123"
"common.UI.DateGauge.yearDay","Used in Assets/Common\UI\DateGauge.cs (C#). Keep concise and natural for players.","Year {_Value1}. Day {_Value2}"
"common.UI.Elements.ArrowDrawer.arrow","Used in Assets/Common\UI\Elements\ArrowDrawer.cs (C#). Keep concise and natural for players.","Arrow_{_Value1}-{_Value1}"
"common.UI.Elements.ArrowDrawer.couldNotAddArrowInvalidBottomIndex","Used in Assets/Common\UI\Elements\ArrowDrawer.cs (C#). Keep concise and natural for players.","Could not add arrow. Invalid bottomIndex {_Value1}."
"common.UI.Elements.ArrowDrawer.couldNotAddArrowInvalidTopIndex","Used in Assets/Common\UI\Elements\ArrowDrawer.cs (C#). Keep concise and natural for players.","Could not add arrow. Invalid topIndex {_Value1}."
"common.UI.Elements.Button.button","Used in Assets/Common\UI\Elements\Button.prefab (m_text line 352).","Button"
"common.UI.Elements.DefaultListItem.textForDefaultListItem","Used in Assets/Common\UI\Elements\DefaultListItem.prefab (m_text line 244).","text for default list item"
"common.UI.Elements.PanelUITemplate.contents","Used in Assets/Common\UI\Elements\Panel UI Template.prefab (m_text line 592).","Contents"
"common.UI.Elements.PanelUITemplate.subtitle","Used in Assets/Common\UI\Elements\Panel UI Template.prefab (m_text line 193).","Subtitle"
"common.UI.Elements.PanelUITemplate.title","Used in Assets/Common\UI\Elements\Panel UI Template.prefab (m_text line 730).","Title"
"common.UI.Elements.PlayerInputExtension.gameplay","Used in Assets/Common\UI\Elements\PlayerInputExtension.cs (C#). Keep concise and natural for players.","Gameplay"
"common.UI.Elements.SimpleTooltip.simpleTooltip","Used in Assets/Common\UI\Elements\SimpleTooltip.prefab (m_text line 69).","Simple tooltip."
"common.UI.Elements.SimpleTooltipError.simpleTooltip","Used in Assets/Common\UI\Elements\SimpleTooltipError.prefab (m_text line 69).","Simple tooltip."
"common.UI.Elements.TextInput.u200B","Used in Assets/Common\UI\Elements\TextInput.prefab (m_text line 226).","\u200B"
"common.UI.GameOverUI.0","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","0.#"
"common.UI.GameOverUI.congatuationsYouSuccessfullyCompletedLevel01Simple","Used in Assets/Common\UI\GameOverUI.prefab (m_text line 426).","'Congatuations! You successfully completed Level 01: Simple Beginnings!'"
"common.UI.GameOverUI.congratulationsYouSuccessfullyCompleted","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","Congratulations! You successfully completed {_Value1}"
"common.UI.GameOverUI.day23OfYear2","Used in Assets/Common\UI\GameOverUI.prefab (m_text line 848).","'Day 23 of Year 2"
"common.UI.GameOverUI.finishDateNCoinsInInventoryNTierII","Used in Assets/Common\UI\GameOverUI.prefab (m_text line 286).","""Finish Date:\nCoins in inventory: \nTier II Towns:\nTier III Towns:\nProduction buildings built:\nTotal goods Traded:\nTotal Coins Earned:\nFavorite Good:\nOverall"
"common.UI.GameOverUI.gameOver","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","Game Over!"
"common.UI.GameOverUI.gameOverStats","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","Game Over Stats: {_Value1}"
"common.UI.GameOverUI.hereIsTheReasonYouLost3","Used in Assets/Common\UI\GameOverUI.prefab (m_text line 1000).","Here is the reason you lost :3"
"common.UI.GameOverUI.level","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","Level {_Value1}: {_Value1}"
"common.UI.GameOverUI.levelCompleted","Used in Assets/Common\UI\GameOverUI.prefab (m_text line 584).","Level Completed!"
"common.UI.GameOverUI.levelFinished","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","Level Finished!"
"common.UI.GameOverUI.tradedTimes","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","{_Value1} (traded {_Value1} times)"
"common.UI.GameOverUI.youFailedToComplete","Used in Assets/Common\UI\GameOverUI.cs (C#). Keep concise and natural for players.","You failed to complete {_Value1}"
"common.UI.Popups.BuySellPopup.buy","Used in Assets/Common\UI\Popups\BuySellPopup.prefab (m_text line 677).","Buy"
"common.UI.Popups.BuySellPopup.good","Used in Assets/Common\UI\Popups\BuySellPopup.prefab (m_text line 68).","Good"
"common.UI.Popups.BuySellPopup.sell","Used in Assets/Common\UI\Popups\BuySellPopup.prefab (m_text line 814).","Sell"
"common.UI.Test.DynamicTestTooltip.title","Used in Assets/Common\UI\Test\DynamicTestTooltip.prefab (m_text line 334).","Title"
"common.UI.Test.DynamicTestTooltipHandler.content","Used in Assets/Common\UI\Test\DynamicTestTooltipHandler.cs (C#). Keep concise and natural for players.","content"
"common.UI.Test.DynamicTestTooltipHandler.elements","Used in Assets/Common\UI\Test\DynamicTestTooltipHandler.cs (C#). Keep concise and natural for players.","{_Value1} elements"
"common.UI.Test.TestElement.contentContentContent","Used in Assets/Common\UI\Test\TestElement.prefab (m_text line 188).","content content content"
"common.UI.TitleDescriptionTooltip.descriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription","Used in Assets/Common\UI\TitleDescriptionTooltip.prefab (m_text line 376).","'Description Description Description Description Description Description Description Description Description '"
"common.UI.TitleDescriptionTooltip.titleTitleTitleTitleTitleTitleTitle","Used in Assets/Common\UI\TitleDescriptionTooltip.prefab (m_text line 69).","'Title Title Title Title Title Title Title '"
"common.UI.Tooltips.ModifiableTooltipElement.999999","Used in Assets/Common\UI\Tooltips\ModifiableTooltipElement.prefab (m_text line 264).","+9999.99%"
"common.UI.Tooltips.ModifiableTooltipElement.line1","Used in Assets/Common\UI\Tooltips\ModifiableTooltipElement.prefab (m_text line 90).","'Line 1"
"common.UI.Tooltips.ModifiableVariableTooltip.finalValueAfterAllModifiers","Used in Assets/Common\UI\Tooltips\ModifiableVariableTooltip.prefab (m_text line 713).","Final Value after all modifiers"
"common.UI.Tooltips.ModifiableVariableTooltip.fromModifiers","Used in Assets/Common\UI\Tooltips\ModifiableVariableTooltip.prefab (m_text line 1162).","from modifiers"
"common.UI.Utility.BackgroundQuadScaler.cameraNotAssigned","Used in Assets/Common\UI\Utility\BackgroundQuadScaler.cs (C#). Keep concise and natural for players.","Camera not assigned."
"common.UI.Utility.StyleExtensions.link","Used in Assets/Common\UI\Utility\StyleExtensions.cs (C#). Keep concise and natural for players.","Link"
"common.UI.Utility.StyleExtensions.subtitle","Used in Assets/Common\UI\Utility\StyleExtensions.cs (C#). Keep concise and natural for players.","Subtitle"
"common.UI.Utility.StyleExtensions.text","Used in Assets/Common\UI\Utility\StyleExtensions.cs (C#). Keep concise and natural for players.","<style=""{_Value1}"">{_Value1}</style>"
"common.UI.Utility.StyleExtensions.text.aa8dac","Used in Assets/Common\UI\Utility\StyleExtensions.cs (C#). Keep concise and natural for players.","<color=#{_Value1}>{_Value1}</color>"
"common.UI.Utility.StyleExtensions.title","Used in Assets/Common\UI\Utility\StyleExtensions.cs (C#). Keep concise and natural for players.","Title"
"common.UI.Utility.StyleExtensions.tutorialHighlight","Used in Assets/Common\UI\Utility\StyleExtensions.cs (C#). Keep concise and natural for players.","TutorialHighlight"
"common.Utility.AssetMenu.gameplayModifiers","Used in Assets/Common\Utility\AssetMenu.cs (C#). Keep concise and natural for players.","Gameplay Modifiers/"
"common.Utility.AssetMenu.medievalMerchant","Used in Assets/Common\Utility\AssetMenu.cs (C#). Keep concise and natural for players.","Medieval Merchant/"
"common.Utility.AssetMenu.townUpgrades","Used in Assets/Common\Utility\AssetMenu.cs (C#). Keep concise and natural for players.","Town Upgrades/"
"common.Utility.FloatExtensions.text","Used in Assets/Common\Utility\FloatExtensions.cs (C#). Keep concise and natural for players.","{_Value1}{_Value1}%"
"common.Utility.MyGizmos.canvasRectTransformIsNull","Used in Assets/Common\Utility\MyGizmos.cs (C#). Keep concise and natural for players.","Canvas.RectTransform is null!"
"common.Utility.RomanExtensions.iII","Used in Assets/Common\Utility\RomanExtensions.cs (C#). Keep concise and natural for players.","III"
"common.Utility.RomanExtensions.text","Used in Assets/Common\Utility\RomanExtensions.cs (C#). Keep concise and natural for players.","???"
"common.Utility.RomanExtensions.vII","Used in Assets/Common\Utility\RomanExtensions.cs (C#). Keep concise and natural for players.","VII"
"common.Utility.RomanExtensions.vIII","Used in Assets/Common\Utility\RomanExtensions.cs (C#). Keep concise and natural for players.","VIII"
"common.Utility.StringExtensions.and","Used in Assets/Common\Utility\StringExtensions.cs (C#). Keep concise and natural for players.","and"
