"Key","Shared Comments","English(en)"
"player.Caravan.UI.CartTierDetailsGroup.123456","Used in Assets/Features\Player\Caravan\UI\CartTierDetailsGroup.prefab (m_text line 366). Keep concise; preserve placeholders like {_TownName}.","+123.456"
"player.Caravan.UI.CartTierDetailsGroup.123456.ec00f7","Used in Assets/Features\Player\Caravan\UI\CartTierDetailsGroup.prefab (m_text line 567). Keep concise; preserve placeholders like {_TownName}.","+123456"
"player.Caravan.UI.CartTierDetailsGroup.slots1","Used in Assets/Features\Player\Caravan\UI\CartTierDetailsGroup.prefab (m_text line 841). Keep concise; preserve placeholders like {_TownName}.","'Slots: 1'"
"player.Caravan.UI.CartTierDetailsGroup.speed93","Used in Assets/Features\Player\Caravan\UI\CartTierDetailsGroup.prefab (m_text line 1453). Keep concise; preserve placeholders like {_TownName}.","'Speed: 9.3'"
"player.Caravan.UI.CartTierDetailsGroup.tierI","Used in Assets/Features\Player\Caravan\UI\CartTierDetailsGroup.prefab (m_text line 164). Keep concise; preserve placeholders like {_TownName}.","Tier I"
"player.Caravan.UI.CartTierDetailsGroup.upkeep34Day","Used in Assets/Features\Player\Caravan\UI\CartTierDetailsGroup.prefab (m_text line 1252). Keep concise; preserve placeholders like {_TownName}.","Upkeep 3.4/day"
"player.Caravan.UI.CartUI.header","Used in Assets/Features\Player\Caravan\UI\CartUI.cs (C#). Keep concise and natural for players.","Header"
"player.Caravan.UI.CartUI.movementSpeed","Used in Assets/Features\Player\Caravan\UI\CartUI.cs (C#). Keep concise and natural for players.","Movement Speed: {_Value1}"
"player.Caravan.UI.CartUI.slotCountReductionIsNotSupported","Used in Assets/Features\Player\Caravan\UI\CartUI.cs (C#). Keep concise and natural for players.","Slot count reduction is not supported!."
"player.Caravan.UI.CartUI.upkeep","Used in Assets/Features\Player\Caravan\UI\CartUI.cs (C#). Keep concise and natural for players.","Upkeep: {_Value1}"
"player.Caravan.UI.CartUI.waggon","Used in Assets/Features\Player\Caravan\UI\CartUI.cs (C#). Keep concise and natural for players.","Waggon {_Value1}"
"player.Caravan.UI.CartUI.waggon1","Used in Assets/Features\Player\Caravan\UI\CartUI.prefab (m_text line 143). Keep concise; preserve placeholders like {_TownName}.","Waggon 1"
"player.Caravan.UI.CartUpgradeTooltip.cost","Used in Assets/Features\Player\Caravan\UI\CartUpgradeTooltip.cs (C#). Keep concise and natural for players.","Cost: {_Value1}"
"player.Caravan.UI.CartUpgradeTooltip.cost500","Used in Assets/Features\Player\Caravan\UI\CartUpgradeTooltip.prefab (m_text line 664). Keep concise; preserve placeholders like {_TownName}.","'Cost: 500'"
"player.Caravan.UI.CartUpgradeTooltip.upgradeCart","Used in Assets/Features\Player\Caravan\UI\CartUpgradeTooltip.prefab (m_text line 275). Keep concise; preserve placeholders like {_TownName}.","Upgrade Cart"
"player.Caravan.UI.CartUpgradeTooltipDetails.level","Used in Assets/Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs (C#). Keep concise and natural for players.","Level {_Value1}"
"player.Caravan.UI.CartUpgradeTooltipDetails.slots","Used in Assets/Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs (C#). Keep concise and natural for players.","Slots: {_Value1}"
"player.Caravan.UI.CartUpgradeTooltipDetails.speed","Used in Assets/Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs (C#). Keep concise and natural for players.","Speed: {_Value1}"
"player.Caravan.UI.CartUpgradeTooltipDetails.upkeepDay","Used in Assets/Features\Player\Caravan\UI\CartUpgradeTooltipDetails.cs (C#). Keep concise and natural for players.","Upkeep: {_Value1}{_Value1}/day"
"player.Caravan.UI.NewCartTooltip.addCart","Used in Assets/Features\Player\Caravan\UI\NewCartTooltip.prefab (m_text line 164). Keep concise; preserve placeholders like {_TownName}.","Add Cart"
"player.Caravan.UI.NewCartTooltip.cost","Used in Assets/Features\Player\Caravan\UI\NewCartTooltip.cs (C#). Keep concise and natural for players.","Cost: {_Value1}"
"player.Caravan.UI.NewCartTooltip.cost500","Used in Assets/Features\Player\Caravan\UI\NewCartTooltip.prefab (m_text line 550). Keep concise; preserve placeholders like {_TownName}.","'Cost: 500'"
"player.Logic.BaseMovementSpeedModifier.baseMovementSpeedOfCaravan","Used in Assets/Features\Player\Logic\BaseMovementSpeedModifier.cs (C#). Keep concise and natural for players.","Base Movement Speed of Caravan"
"player.Logic.PlayerModel.fundsPerDay","Used in Assets/Features\Player\Logic\PlayerModel.cs (C#). Keep concise and natural for players.","Funds per day"
"player.Logic.PlayerUpkeepSystem.caravan","Used in Assets/Features\Player\Logic\PlayerUpkeepSystem.cs (C#). Keep concise and natural for players.","Caravan"
"player.Logic.PlayerUpkeepSystem.retinue","Used in Assets/Features\Player\Logic\PlayerUpkeepSystem.cs (C#). Keep concise and natural for players.","Retinue"
"player.Logic.TradeTracker.removedXForToNewAmountTotal","Used in Assets/Features\Player\Logic\TradeTracker.cs (C#). Keep concise and natural for players.","Removed {_Value1}x{_Value1} for to new amount ({_Value1})/total: ({_Value1})"
"player.Logic.TradeTracker.trackedXForToNewAmountTotal","Used in Assets/Features\Player\Logic\TradeTracker.cs (C#). Keep concise and natural for players.","Tracked {_Value1}x{_Value1} for {_Value1} to new amount ({_Value1})/total({_Value1})"
"player.Retinue.Config.CompanionConfigData.comingSoon","Used in Assets/Features\Player\Retinue\Config\CompanionConfigData.cs (C#). Keep concise and natural for players.","- (coming soon)"
"player.Retinue.Config.CompanionConfigDefault.aqcuiresThingsInCreativeWays","Used in Assets/Features\Player\Retinue\Config\CompanionConfig_Default.asset (Description line 18). Keep concise; preserve placeholders like {_TownName}.","Aqcuires things in creative ways."
"player.Retinue.Config.CompanionConfigDefault.getsStuffDone","Used in Assets/Features\Player\Retinue\Config\CompanionConfig_Default.asset (Description line 133). Keep concise; preserve placeholders like {_TownName}.","Gets stuff done."
"player.Retinue.Config.CompanionConfigDefault.getsYouOutOfSpicySituations","Used in Assets/Features\Player\Retinue\Config\CompanionConfig_Default.asset (Description line 91). Keep concise; preserve placeholders like {_TownName}.","Gets you out of spicy situations."
"player.Retinue.Config.CompanionConfigDefault.getsYouPlaces","Used in Assets/Features\Player\Retinue\Config\CompanionConfig_Default.asset (Description line 45). Keep concise; preserve placeholders like {_TownName}.","Gets you places."
"player.Retinue.Config.CompanionConfigDefault.rubsShouldersWithTheLocals","Used in Assets/Features\Player\Retinue\Config\CompanionConfig_Default.asset (Description line 109). Keep concise; preserve placeholders like {_TownName}.","Rubs shoulders with the locals"
"player.Retinue.Config.CompanionConfigDefault.strikesQuiteTheBargain","Used in Assets/Features\Player\Retinue\Config\CompanionConfig_Default.asset (Description line 68). Keep concise; preserve placeholders like {_TownName}.","Strikes quite the bargain."
"player.Retinue.Config.LevelDatas.ArchitectLevelData.reductionToCostsOfProductionBuildings","Used in Assets/Features\Player\Retinue\Config\LevelDatas\ArchitectLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} reduction to costs of production buildings"
"player.Retinue.Config.LevelDatas.DiplomatLevelData.bonusForAllReputationGains","Used in Assets/Features\Player\Retinue\Config\LevelDatas\DiplomatLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} bonus for all reputation gains"
"player.Retinue.Config.LevelDatas.DiplomatLevelData.reputationWhenEnteringTown","Used in Assets/Features\Player\Retinue\Config\LevelDatas\DiplomatLevelData.cs (C#). Keep concise and natural for players.","- +{_Value1} reputation when entering town"
"player.Retinue.Config.LevelDatas.GuardLevelData.combatStrength","Used in Assets/Features\Player\Retinue\Config\LevelDatas\GuardLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} combat strength"
"player.Retinue.Config.LevelDatas.NavigatorLevelData.lowerUpkeep","Used in Assets/Features\Player\Retinue\Config\LevelDatas\NavigatorLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} lower upkeep"
"player.Retinue.Config.LevelDatas.NavigatorLevelData.shorterTravelTimes","Used in Assets/Features\Player\Retinue\Config\LevelDatas\NavigatorLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} shorter travel times"
"player.Retinue.Config.LevelDatas.NegotiatorLevelData.betterPrices","Used in Assets/Features\Player\Retinue\Config\LevelDatas\NegotiatorLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} better prices"
"player.Retinue.Config.LevelDatas.NegotiatorLevelData.reductionOfCaravanUpgradeCosts","Used in Assets/Features\Player\Retinue\Config\LevelDatas\NegotiatorLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} reduction of caravan upgrade costs"
"player.Retinue.Config.LevelDatas.ThiefLevelData.chanceOfGettingCaught","Used in Assets/Features\Player\Retinue\Config\LevelDatas\ThiefLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} chance of getting caught"
"player.Retinue.Config.LevelDatas.ThiefLevelData.reputationLostWhenBeingCaught","Used in Assets/Features\Player\Retinue\Config\LevelDatas\ThiefLevelData.cs (C#). Keep concise and natural for players.","- {_Value1} reputation lost when being caught"
"player.Retinue.Config.LevelDatas.ThiefLevelData.stealsCoinWhenEnteringTown","Used in Assets/Features\Player\Retinue\Config\LevelDatas\ThiefLevelData.cs (C#). Keep concise and natural for players.","- Steals {_Value1} coin when entering town"
"player.Retinue.Logic.CompanionLogics.DiplomatCompanionLogic.yourDiplomatRubbedShouldersWithTheLocals","Used in Assets/Features\Player\Retinue\Logic\CompanionLogics\DiplomatCompanionLogic.cs (C#). Keep concise and natural for players.","Your diplomat rubbed shoulders with the locals."
"player.Retinue.Logic.CompanionLogics.GuardCompanionLogic.guardIsNotYetImplemented","Used in Assets/Features\Player\Retinue\Logic\CompanionLogics\GuardCompanionLogic.cs (C#). Keep concise and natural for players.","Guard is not yet implemented."
"player.Retinue.Logic.CompanionLogics.ThiefCompanionLogic.andGotCaughtRep","Used in Assets/Features\Player\Retinue\Logic\CompanionLogics\ThiefCompanionLogic.cs (C#). Keep concise and natural for players.",".. and got caught ({_Value1} rep)"
"player.Retinue.Logic.CompanionLogics.ThiefCompanionLogic.couldNotFindLevelDataFor","Used in Assets/Features\Player\Retinue\Logic\CompanionLogics\ThiefCompanionLogic.cs (C#). Keep concise and natural for players.","Could not find level data for {_Value1}, {_Value1}"
"player.Retinue.Logic.CompanionLogics.ThiefCompanionLogic.thiefStoleFrom","Used in Assets/Features\Player\Retinue\Logic\CompanionLogics\ThiefCompanionLogic.cs (C#). Keep concise and natural for players.","Thief stole {_Value1} from {_Value1}."
"player.Retinue.Logic.CompanionLogics.ThiefCompanionLogic.yourThiefWasCaughtStealing","Used in Assets/Features\Player\Retinue\Logic\CompanionLogics\ThiefCompanionLogic.cs (C#). Keep concise and natural for players.","Your thief was caught stealing!"
"player.Retinue.Logic.CompanionMission.thisCompanionMissionDoesNotRequiredGood","Used in Assets/Features\Player\Retinue\Logic\CompanionMission.cs (C#). Keep concise and natural for players.","This companion mission does not required good '{_Value1}'."
"player.Retinue.Logic.CompanionMissionItem.companionMissionIsAlreadyCompletedSkippingDelivery","Used in Assets/Features\Player\Retinue\Logic\CompanionMissionItem.cs (C#). Keep concise and natural for players.","Companion mission is already completed. Skipping delivery."
"player.Retinue.Logic.CompanionModel.triedStartingACompanionMissionWhileOne","Used in Assets/Features\Player\Retinue\Logic\CompanionModel.cs (C#). Keep concise and natural for players.","Tried starting a companion mission while one is already active."
"player.Retinue.Logic.CompanionUpgradeService.playerDoesNotHaveEnoughCoinTo","Used in Assets/Features\Player\Retinue\Logic\CompanionUpgradeService.cs (C#). Keep concise and natural for players.","Player does not have enough coin to upgrade ({_Value1}/{_Value1})"
"player.Retinue.Logic.CompanionUpgradeService.upgradeCost","Used in Assets/Features\Player\Retinue\Logic\CompanionUpgradeService.cs (C#). Keep concise and natural for players.","Upgrade Cost"
"player.Retinue.Logic.CompanionUpgradeService.upgradeOfCompanionFailedNewLevelMax","Used in Assets/Features\Player\Retinue\Logic\CompanionUpgradeService.cs (C#). Keep concise and natural for players.","Upgrade of companion {_Value1} failed. New level: {_Value1}, max level : {_Value1}"
"player.Retinue.Logic.CompanionUpgradeService.upgradingToForBase","Used in Assets/Features\Player\Retinue\Logic\CompanionUpgradeService.cs (C#). Keep concise and natural for players.","Upgrading {_Value1} to {_Value1} for {_Value1} (base: {_Value1})."
"player.Retinue.Logic.Modifiers.CompanionUpgradeBaseCostModifier.upgradeCost","Used in Assets/Features\Player\Retinue\Logic\Modifiers\CompanionUpgradeBaseCostModifier.cs (C#). Keep concise and natural for players.","Upgrade Cost"
"player.Retinue.Logic.Modifiers.NavigatorSpeedModifier.navigatorLevel","Used in Assets/Features\Player\Retinue\Logic\Modifiers\NavigatorSpeedModifier.cs (C#). Keep concise and natural for players.","Navigator level {_Value1}"
"player.Retinue.Logic.Modifiers.NavigatorUpkeepModifier.navigatorLevel","Used in Assets/Features\Player\Retinue\Logic\Modifiers\NavigatorUpkeepModifier.cs (C#). Keep concise and natural for players.","Navigator level {_Value1}"
"player.Retinue.Logic.RetinueModel.retinueUpkeep","Used in Assets/Features\Player\Retinue\Logic\RetinueModel.cs (C#). Keep concise and natural for players.","Retinue Upkeep"
"player.Retinue.UI.CompanionLevelTooltip.0","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.cs (C#). Keep concise and natural for players.","0.#"
"player.Retinue.UI.CompanionLevelTooltip.10ExtraSomething","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.prefab (m_text line 600). Keep concise; preserve placeholders like {_TownName}.","'- 10% extra something"
"player.Retinue.UI.CompanionLevelTooltip.comingSoon","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.cs (C#). Keep concise and natural for players.","(coming soon)"
"player.Retinue.UI.CompanionLevelTooltip.level2","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.prefab (m_text line 1061). Keep concise; preserve placeholders like {_TownName}.","Level 2"
"player.Retinue.UI.CompanionLevelTooltip.levelDataIsNullHereLevel","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.cs (C#). Keep concise and natural for players.","Level data is null here. (Level {_Value1}"
"player.Retinue.UI.CompanionLevelTooltip.unlockPreviousLevelsFirst","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.cs (C#). Keep concise and natural for players.","Unlock previous levels first"
"player.Retinue.UI.CompanionLevelTooltip.unlockPreviousLevelsFirst.2b8f2c","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.prefab (m_text line 462). Keep concise; preserve placeholders like {_TownName}.","Unlock previous levels first."
"player.Retinue.UI.CompanionLevelTooltip.upkeep","Used in Assets/Features\Player\Retinue\UI\CompanionLevelTooltip.prefab (m_text line 196). Keep concise; preserve placeholders like {_TownName}.","'Upkeep:'"
"player.Retinue.UI.CompanionTooltip.0","Used in Assets/Features\Player\Retinue\UI\CompanionTooltip.cs (C#). Keep concise and natural for players.","0.#"
"player.Retinue.UI.CompanionTooltip.10ExtraSomething","Used in Assets/Features\Player\Retinue\UI\CompanionTooltip.prefab (m_text line 343). Keep concise; preserve placeholders like {_TownName}.","'- 10% extra something"
"player.Retinue.UI.CompanionTooltip.architectLevel0ComingSoon","Used in Assets/Features\Player\Retinue\UI\CompanionTooltip.prefab (m_text line 729). Keep concise; preserve placeholders like {_TownName}.","Architect (Level 0) - (coming soon)"
"player.Retinue.UI.CompanionTooltip.takesYouPlaces","Used in Assets/Features\Player\Retinue\UI\CompanionTooltip.prefab (m_text line 205). Keep concise; preserve placeholders like {_TownName}.","Takes you places."
"player.Retinue.UI.CompanionTooltip.upkeep","Used in Assets/Features\Player\Retinue\UI\CompanionTooltip.prefab (m_text line 68). Keep concise; preserve placeholders like {_TownName}.","'Upkeep:'"
"player.Retinue.UI.CompanionUI.aquiresThingsInCreativeWays","Used in Assets/Features\Player\Retinue\UI\CompanionUI.prefab (m_text line 393). Keep concise; preserve placeholders like {_TownName}.","Aquires things in creative ways"
"player.Retinue.UI.CompanionUI.navigator","Used in Assets/Features\Player\Retinue\UI\CompanionUI.prefab (m_text line 703). Keep concise; preserve placeholders like {_TownName}.","Navigator"
"player.Retinue.UI.CompanionUI.steals5CoinsWhenEnteringTown","Used in Assets/Features\Player\Retinue\UI\CompanionUI.prefab (m_text line 165). Keep concise; preserve placeholders like {_TownName}.","'steals 5 coins when entering town"
"player.Retinue.UI.RetinuePanel.0","Used in Assets/Features\Player\Retinue\UI\RetinuePanel.cs (C#). Keep concise and natural for players.","0.#"
"player.Retinue.UI.RetinuePanel.noOneCanRuleTheWorldOf","Used in Assets/Features\Player\Retinue\UI\RetinuePanel.prefab (m_text line 313). Keep concise; preserve placeholders like {_TownName}.","No one can rule the world of trade by themself. \nGet yourself some helpers."
"player.Retinue.UI.RetinuePanel.retinue","Used in Assets/Features\Player\Retinue\UI\RetinuePanel.prefab (m_text line 450). Keep concise; preserve placeholders like {_TownName}.","Retinue"
"player.UI.PlayerMiniUI.0","Used in Assets/Features\Player\UI\PlayerMiniUI.cs (C#). Keep concise and natural for players.","0.#"
"player.UI.PlayerMiniUI.1234Day","Used in Assets/Features\Player\UI\PlayerMiniUI.prefab (m_text line 948). Keep concise; preserve placeholders like {_TownName}.","+1234 /day"
"player.UI.PlayerMiniUI.centerCameraC","Used in Assets/Features\Player\UI\PlayerMiniUI.prefab (defaultDescription line 1461). Keep concise; preserve placeholders like {_TownName}.","Center camera (C)"
"player.UI.PlayerMiniUI.gamePaused","Used in Assets/Features\Player\UI\PlayerMiniUI.prefab (m_text line 173). Keep concise; preserve placeholders like {_TownName}.","'Game Paused"
"player.UI.PlayerMiniUI.merchant","Used in Assets/Features\Player\UI\PlayerMiniUI.prefab (m_text line 1639). Keep concise; preserve placeholders like {_TownName}.","Merchant"
"player.UI.PlayerMiniUI.playingAnimation","Used in Assets/Features\Player\UI\PlayerMiniUI.cs (C#). Keep concise and natural for players.","Playing Animation"
"player.UI.PlayerMiniUI.simpleAnimationHandler","Used in Assets/Features\Player\UI\PlayerMiniUI.cs (C#). Keep concise and natural for players.","simpleAnimationHandler"
"player.UI.PlayerMiniUI.you","Used in Assets/Features\Player\UI\PlayerMiniUI.prefab (m_text line 1317). Keep concise; preserve placeholders like {_TownName}.","(You)"
"player.UI.PlayerMiniUI.yourFunds","Used in Assets/Features\Player\UI\PlayerMiniUI.prefab (defaultText line 619). Keep concise; preserve placeholders like {_TownName}.","Your Funds"
"player.UI.PlayerMiniUI.youYesYouHaveAPonyTail","Used in Assets/Features\Player\UI\PlayerMiniUI.prefab (defaultTitle line 1460). Keep concise; preserve placeholders like {_TownName}.","You <size=16>(Yes, you have a pony tail)"
