"Key","Shared Comments","English(en)"
"tutorial.Onboarding.Logic.OnboardingController.setTheGameSpeedToFast2","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Set the game speed to fast [2]"
"tutorial.Onboarding.Logic.OnboardingController.townA","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","TownA"
"tutorial.Onboarding.Logic.OnboardingController.townB","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","TownB"
"tutorial.Onboarding.Logic.OnboardingController.travelTo","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Travel to {_Value1}"
"tutorial.Onboarding.Logic.OnboardingController.travelTo.aff151","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Travel to {_Value1}."
"tutorial.Onboarding.Logic.OnboardingController.unPauseTheGameSpace","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Un-pause the game [Space]"
"tutorial.Onboarding.Logic.OnboardingController.upgradeToTierII","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Upgrade {_Value1} to tier II."
"tutorial.Onboarding.Logic.OnboardingController.upgradeYourCartToTierII","Used in Assets/Features\Tutorial\Onboarding\Logic\OnboardingController.cs (C#). Keep concise and natural for players.","Upgrade your cart to tier II."
"tutorial.Onboarding.Logic.Steps.OnboardingBuildProducerStep.couldNotFindCellForGood","Used in Assets/Features\Tutorial\Onboarding\Logic\Steps\OnboardingBuildProducerStep.cs (C#). Keep concise and natural for players.","Could not find cell for good '{_Good}'."
"tutorial.Onboarding.Logic.Steps.OnboardingTradeStep.couldNotFindCellForGood","Used in Assets/Features\Tutorial\Onboarding\Logic\Steps\OnboardingTradeStep.cs (C#). Keep concise and natural for players.","Could not find cell for good '{_Good}'."
"tutorial.Onboarding.UI.OnboardingExplainerUI.welcomeMerchantThisIsAGameAbout","Used in Assets/Features\Tutorial\Onboarding\UI\OnboardingExplainerUI.prefab (m_text line 187). Keep concise; preserve placeholders like {_TownName}.","'Welcome, Merchant! This is a game about trade."
"tutorial.Onboarding.UI.OnboardingTaskListUI.tasks","Used in Assets/Features\Tutorial\Onboarding\UI\OnboardingTaskListUI.prefab (m_text line 320). Keep concise; preserve placeholders like {_TownName}.","Tasks"
"tutorial.Onboarding.UI.PopupOpenCloseAnimatorHandler.close","Used in Assets/Features\Tutorial\Onboarding\UI\PopupOpenCloseAnimatorHandler.cs (C#). Keep concise and natural for players.","Close"
"tutorial.Onboarding.UI.PopupOpenCloseAnimatorHandler.open","Used in Assets/Features\Tutorial\Onboarding\UI\PopupOpenCloseAnimatorHandler.cs (C#). Keep concise and natural for players.","Open"
"tutorial.UI.TutorialButton.text","Used in Assets/Features\Tutorial\UI\TutorialButton.cs (C#). Keep concise and natural for players.","?"
"tutorial.UI.TutorialButton.tutorial","Used in Assets/Features\Tutorial\UI\TutorialButton.cs (C#). Keep concise and natural for players.","Tutorial: {_Value1}"
"tutorial.UI.TutorialUI.45","Used in Assets/Features\Tutorial\UI\TutorialUI.prefab (m_text line 327). Keep concise; preserve placeholders like {_TownName}.","4/5"
"tutorial.UI.TutorialUI.titleOfTheChapter","Used in Assets/Features\Tutorial\UI\TutorialUI.prefab (m_text line 1433). Keep concise; preserve placeholders like {_TownName}.","Title of the chapter"
"tutorial.UI.TutorialUI.tutorial","Used in Assets/Features\Tutorial\UI\TutorialUI.prefab (m_text line 1156). Keep concise; preserve placeholders like {_TownName}.","Tutorial"
"tutorial.UI.TutorialUIHandler.couldNotFindTopicDataFor","Used in Assets/Features\Tutorial\UI\TutorialUIHandler.cs (C#). Keep concise and natural for players.","Could not find topic data for '{_Value1}'"
